"jp","cn","occurrences","basis"
"ハイヴ","巢穴","19","沿用系列通行中文译名“巢穴”，与巢穴攻略战、巢穴内战斗等组合保持一致。 | 沿用 Adoration 与系列通行中文译名，已回改 HIVE 混用。"
"国連軍","联合国军","18","组织名。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"戦術機","战术机","76","系列核心机体术语。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"衛士","卫士","99","Muv-Luv核心术语。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ヴィッツレーベン","维茨莱本","54","カタカナ/英文式词，按规则优先判断是否适合意译。; Surname component."
"ＣＰ","CP","7","Command-post acronym in rules/interface. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ルナテレジア","露娜特蕾西娅","162","说话人名/称谓，需要固定。; Earlier batches contain a variant, 卢娜特蕾吉娅; keep for later global term pass.; Extracted from current cn_text speaker brackets.; Short speaker/name form; normalize older 卢娜特蕾吉娅."
"声","声音","81","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"女","女生","306","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"女性","女性","99","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"女性士官","女军官","15","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。 | 跨篇统一说话人标签为自然中文“女军官”。"
"武","武","82","白银武通称，汉字保留。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"男","男人","138","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"部隊員１","部队员1","5","说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ブロック","区","2","区, used for tournament blocks such as E区, G区, C区.; Tournament block/section. Use E区/G区/C区, not 区块. | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"アイヒベルガー","艾希贝尔格","59","按全篇姓名与军衔命中统一。"
"ファルケンマイヤー","法尔肯迈尔","46","按赫尔加罗泽全名与军衔命中统一。"
"ファーレンホルスト","法伦霍斯特","65","按齐格琳德全名与军衔命中统一。"
"フォイルナー","福伊尔纳","117","按伊尔芙莉德全名与军衔命中统一。"
"ブラウアー","布劳尔","146","按全篇姓名与军衔命中统一。"
