call_order,id,egpack,scene,speaker_jp,source_text_sha256,record_kind,cn_text
1,game_t00000,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,400502E4AB0280DDDD4A04856ECE0E971B64C104F7D1EDCCFD2DE96D9A1B9679,text,「情况如何……？那个东西呢——」
2,game_t00001,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,783E261719D8E9F2E192C9938F8C1848B22A4AF9BE98704DABDF3376D1084DF8,text,「——是。目前还未找到……」
3,game_t00002,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,42EE32A9C153865E9B1D0AC80D3464E216809D178D7EBF751ED0D038536D7F9A,text,「这里是3班。在西翼发现了总统夫人的遗体」
4,game_t00003,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,195593EE8D9B12DF038AEA9872E039C90566890CCB9CF2AE854225B26A90097A,text,「确定吗？」
5,game_t00004,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,24CF0B7C0FB6057DEDE315255D52AA2BC25DC6D78DBAB7706B3A5C5305C19D37,text,「与事先采集的DNA数据一致」
6,game_t00005,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,EA40DC6C3F203BFF7B2B688DE998BA9B5322D37E8BCC38E76CFD8A20114966E5,text,「……好消息。继续搜索」
7,game_t00006,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,65DAB5682958C745CA7A94A1FEB96AC6425F26BA4B4AB3F8325EBB55915919E8,text,「——是！」
8,game_t00007,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,BB7CB5A1A38B4168C6C761401D9611ABB0C9156C10A6896786DDE7EE770A2D10,text,「看来确实一片混乱啊……」
9,game_t00008,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,E5A348D5B9BFAE7AB52B95018AA40B4DA9D361E9FF9498B5F7DC126F330BAD3A,text,「一定要找到。那是对祖国效忠的表现」
10,game_t00009,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,0063F61A597F77E3A75DA645A05768AF67E1C7D1630E5295E5A933AC675C6A3A,text,「——明白」
11,game_t00010,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,728ED85B2C36DD1FADFECA652C7186CF4D1A0A1CDDCB1017BC18ACC65A090AD7,text,「要压制这片土地也许难如登天……但得到那个东西的人，将成为统治这个世界的人……」
12,game_t00011,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,6DCA908B3942B138027793339B495F4B255DC449BED8C3D8ED88C1ECA4F1C998,text,「……还是不想开口吗？」
13,game_t00012,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「嗯……」
14,game_t00013,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,2227943A361C7EA0ACFFD09B9D8A2AE029A3030D1EF0173AAD8B9D0213407DE0,text,「非法持有S-11……仅这一点就是重罪，你应该明白吧？」
15,game_t00014,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「嗯……」
16,game_t00015,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,FDAFE797420622F549BE0999499E24B747EE9D81080AF7062DABD6AEAC61DD75,text,「连军队的管理体制都受到了怀疑。拜你所赐，美国方面的核查压力更大了」
17,game_t00016,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,C110C0A5C73D014A0512CE3DA9727B7D757FC2CA98AEBFB868F6965E2E2E4A48,text,「不仅违反了日美同盟相关协定，还有多次越权行为……要问你的话实在太多了」
18,game_t00017,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「嗯……」
19,game_t00018,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,49EC2C40161BDC5BF3F4B1BAA90E5C88E8D419AC118148C252A9A8922476C0E5,text,「真是的……你这个人还真是顽固啊——」
20,game_t00019,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,8501904A3B0E3739891DB57B3A8333D4E21A736A826BA7D5613ADBE93C47A43E,text,「……我愿意接受任何处分」
21,game_t00020,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,836401DE0312307E2AC3F75ECD521DED500DDC0FD3F09E57202DC726FEC84182,text,「因为愿意接受处分就不回答？你应该很清楚这是不被允许的吧？」
22,game_t00021,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「嗯……」
23,game_t00022,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,C3362C137575261A07773BD5C89B9D92888A4A2D71A7077DAE9976D8D271F829,text,「别以为我会轻易放过你」
24,game_t00023,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「嗯……」
25,game_t00024,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,AA5352045AAD3DD193348903B63558F5C0FF9F79102CA36709A2D251AF91EA1E,text,「对你的处分美国也在密切关注。这并非帝国国内就能解决的问题……」
26,game_t00025,010_プロローグ_011_プロローグ　神宮司まりも更迭.egpack,010_プロローグ_011_プロローグ　神宮司まりも更迭,,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「嗯……」
