"version","category","jp","cn","status","scope","basis","handling"
"pf-al-r0-v1","person","神宮司まりも","神宫司麻理茉","confirmed","贖罪/告白","pf-al-terms-v1; official Alternative exact speaker alias 915 instances","global"
"pf-al-r0-v1","person","鎧衣美琴","铠衣美琴","confirmed","告白","origin/main glossary plus Alternative identity scope","female; use 她"
"pf-al-r0-v1","rank","衛士候補生","卫士候补生","confirmed","all AL","official exact JP/CN pair: muvluv:muvluv16_chn.rio:1435824342:49035:326","global"
"pf-al-r0-v1","rank","候補生","候补生","confirmed","贖罪/告白","official compound evidence plus unambiguous project register","global"
"pf-al-r0-v1","rank","分隊長","分队长","confirmed","all AL","many official exact JP/CN pairs including muvluv:muvluv16_chn.rio:595311928:38668:217 and official corpus line group at block 1835472344","global"
"pf-al-r0-v1","rank","軍曹","中士","confirmed","贖罪/告白","official exact JP/CN pairs including muvluv:muvluv16_chn.rio:537991298:46303:415","global; preserve speaker display context"
"pf-al-r0-v1","address","月子さん","月子","contextual","告白","target JP and plot/relationship card","preserve respect/intimacy through sentence tone"
"pf-al-r0-v1","address","園子","园子","contextual","告白","target JP and close teammate relation","direct given-name address"
"pf-al-r0-v1","address","伊隅さん","伊隅","contextual","告白","target JP and junior-peer relation","normally omit suffix; preserve politeness in syntax"
"pf-al-r0-v1","address","竹宮さん","竹宫","contextual","告白","target JP and junior-peer relation","normally omit suffix; preserve politeness in syntax"
"pf-al-r0-v1","address","みちるちゃん","美知留","contextual","継承","younger-sister idiosyncratic address","do not normalize to 姐"
"pf-al-r0-v1","address","みちる姉ちゃん","美知留姐","contextual","継承","sister relationship card","preserve family intimacy"
"pf-al-r0-v1","address","やよい姉ちゃん","弥生姐","contextual","継承","sister relationship card","preserve family intimacy"
"pf-al-r0-v1","address","姉御","大姐","contextual","Rain Dancers","deference plus camaraderie; not literal kinship","review each occurrence"
"pf-al-r0-v1","training","総戦技評価演習","综战技评价演习","confirmed","告白","pf-al-terms-v6 exact official Alternative evidence","global"
"pf-al-r0-v1","training","分隊","分队","confirmed","贖罪/告白","official mainline usage and stable military register","global"
"pf-al-r0-v1","training","訓練小隊","训练小队","confirmed","贖罪/告白","transparent structured term consistent with 第207卫士训练小队","global"
"pf-al-r0-v1","equipment","再突入殻","返回式舱","confirmed","Chicken Divers","multiple exact official Alternative pairs at alternative:alternative16.rio:1143184112:*; terse operators also use 返回舱","canonical 返回式舱; 返回舱 only contextual"
"pf-al-r0-v1","unit","国連宇宙総軍第６軌道降下兵団","联合国宇宙总军第6轨道降下兵团","confirmed","Chicken Divers","current origin/main glossary; official CN has 空降兵团 variants","project glossary governs; record official variance"
"pf-al-r0-v1","call_sign","ザウバー","Sauber","confirmed","Chicken Divers","official Alternative speaker alias exact instance","global"
"pf-al-r0-v1","call_sign","ゴースト","Ghost","confirmed","Chicken Divers","official Alternative speaker alias exact instance","global"
"pf-al-r0-v1","call_sign","ＣＰ","CP","contextual","贖罪","JP Latin abbreviation; full expansion depends on tactical context","preserve CP; do not invent expansion"
"pf-al-r0-v2","enemy","異星起源種","异星起源物种","confirmed","all AL","official exact Alternative JP/CN pair alternative:alternative16.rio:1151153770:90883:255","apply from PFAL-P2-B0004; compound descriptions remain sentence-level review"
"pf-al-r0-v3","facility","ＰＸ","ＰＸ","confirmed","all AL","official exact Muv-Luv JP/CN pairs muvluv:muvluv16_chn.rio:537991298:68635:559; muvluv:muvluv16_chn.rio:537991298:69121:565; definition pair muvluv:muvluv16_chn.rio:537991298:69685:570","preserve the fullwidth official abbreviation ＰＸ; apply at target_order 242 and 3010"
"pf-al-r0-v4","training","総合戦闘技術評価演習","综合战斗技术评价演习","confirmed","all AL","official exact Muv-Luv/Alternative pairs muvluv:muvluv16_chn.rio:537991298:76739:613; alternative:alternative16.rio:1131383402:105022:278; alternative:alternative16.rio:1432733660:8683:28","apply at target_order 360"
"pf-al-r0-v4","training","回収ポイント","回收点","confirmed","Alternative training/evaluation context","official exact Alternative pairs alternative:alternative16.rio:1132906480:1353:2; alternative:alternative16.rio:1132906480:4102:7; alternative:alternative16.rio:1432733660:8001:25","apply at target_order 378, 640, 2599; do not generalize mainline evacuation-context 撤离点 to this project context"
"pf-al-r0-v5","training","総戦技","综战技","confirmed","Alternative shorthand context","official exact Alternative usage alternative:alternative16.rio:1134118512:127871:343; alternative:alternative16.rio:1142377674:38655:149","use shorthand 综战技; do not mechanically expand to 综合战斗技术评价演习"
"pf-al-r0-v5","training","総戦技演習","综战技演习","confirmed","Alternative shorthand compound","official exact Alternative usage alternative:alternative16.rio:1132177038:82443:233; alternative:alternative16.rio:1138618846:113337:330","apply exact compound"
"pf-al-r0-v5","training","総戦技評価演習","综战技评价演习","confirmed","Alternative shorthand compound","official exact Alternative usage alternative:alternative16.rio:1134118512:127871:343; alternative:alternative16.rio:1142377674:137394:599","apply exact compound"
"pf-al-r0-v6","tactics","陽動","佯动","confirmed","all AL","official exact Alternative pairs alternative:alternative16.rio:1143184112:7011:22; alternative:alternative16.rio:1143184112:7199:23; alternative:alternative16.rio:1146277752:71155:62","use 佯动 for the tactic; 佯动人员 is an allowed contextual agent phrase when the JP nominal denotes the person assigned to perform it"
"pf-al-r0-v7","supply","レーション","口粮","confirmed","all AL","official exact Muv-Luv pairs muvluv:muvluv16_chn.rio:1765816088:4774:38 (军用口粮); muvluv:muvluv16_chn.rio:1765816088:5327:46 (口粮); muvluv:muvluv16_chn.rio:1797857680:3280:25 (军用口粮)","use 口粮 by default; 军用口粮 is an allowed explicit contextual form; do not add 野战 without JP/contextual evidence"
"pf-al-r0-v8","tsf_control","間接思考制御","间接思考控制","confirmed","all AL","official exact Alternative pairs alternative:alternative16.rio:1144892310:118318:475; alternative:alternative16.rio:1144892310:118556:478; alternative:alternative16.rio:1144892310:118816:480","preserve compound suffix from JP: 間接思考制御システム→间接思考控制系统"
"pf-al-r0-v9","combat_survival","死の８分","8分钟的死亡线","confirmed","all AL","official exact Alternative pairs alternative:alternative16.rio:1139340580:14925:66; alternative:alternative16.rio:1139340580:46988:218","retain Arabic numeral 8 and quote marks from local sentence"
"pf-al-r0-v9","command_role","中隊長","中队长","confirmed","all AL","official exact Alternative pairs alternative:alternative16.rio:1139340580:18344:81; alternative:alternative16.rio:1139340580:18563:82","canonical command appointment term"
"pf-al-r0-v9","command_role","小隊長","小队长","confirmed","all AL","official exact Alternative pairs including alternative:alternative16.rio:1133905442:15820:45 and repeated Alternative command scenes","plural 各小隊長 may be contextualized as 各小队队长"
"pf-al-r0-v9","unit","教導隊","教导队","confirmed","all AL","official exact Alternative pairs alternative:alternative16.rio:1136615564:67589:139; alternative:alternative16.rio:1136874440:22124:44; alternative:alternative16.rio:1139340580:20070:89","preserve the narrower JP formation; do not expand to 教导部队"
"pf-al-r0-v9","command_role","部隊長","部队长","confirmed","all AL","multiple official exact Alternative pairs for 伊隅/速瀬 command appointments","contextual 队长 is allowed only when the exact unit is already explicit and no role ambiguity results"
"pf-al-r0-v10","engagement_command","全機兵器使用自由","全机兵器使用限制解除","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1136301392:97552:180; corroborating 兵器使用自由 pairs in Alternative and Muv-Luv","preserve following tactical instructions separately"
"pf-al-r0-v10","formation","楔参型隊形","楔叁型阵型","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1136301392:79095:157","use formal numeral 叁 inside named formation"
"pf-al-r0-v10","incident_code","コード９９１","代号991","confirmed","all AL","official exact Alternative pairs alternative:alternative16.rio:1146975552:160688:425; alternative:alternative16.rio:1149721454:68528:278","use halfwidth Arabic digits in Chinese"
"pf-al-r0-v10","command_post","ＣＰ","ＣＰ","confirmed","all AL","repeated official Alternative exact pairs preserve ＣＰ in command-post speaker labels and radio traffic, including alternative:alternative16.rio:1136301392:37891:78 and alternative:alternative16.rio:1146152950:55897:61","preserve fullwidth ＣＰ for label/radio abbreviation; contextual place sense may use 指挥部 and ＣＰ将校 may use 指挥军官"
"pf-al-r0-v11","beta_class","レーザー級","激光级","confirmed","all AL","official Alternative class mapping 光線級→激光级 repeated across alternative16.rio, including alternative:alternative16.rio:1138971900:14450:59; local レーザー級 is the same class in colloquial battle callout","do not expand to 激光种 unless JP denotes レーザー属"
