binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:860955960:00000684:00001,cvm,咦…………？在那边的是…………。<01>,[],layout_only,b7f41d0d13a33f751aafe886c2f210fc5169ce937dcfc14938d3e378433f2e05,779745971c3f6149aa5673a8b98e6423692216698dfc36d7702be4125dc0b7a7
pm:vm:photonmelodies11.rio.004:860955960:00001008:00002,cvm,【夕呼】「走来走去的，你在干什么？」<01>,[],layout_only,130dafe18a917610fbd9a47c63fcf9380d6dce93c80b1783d96eabadc007cd6b,4900301f648164410331433ea4278c4aa753cc5a46aa8b919568324139b81142
pm:vm:photonmelodies11.rio.004:860955960:00001052:00003,cvm,【武】「没什么…………我只是在随便四处走走，<0A>毕竟我是闲逛主义者」<01>,[],layout_only,4662ea4d9579dc949bbbbd9b8d9be7f2cb5abf5090333b3d2bc17d66e94c7354,cc8b608d14a4f23b761e483baac58b686349cad0fb2550ddff71ac4c0bdba6d8
pm:vm:photonmelodies11.rio.004:860955960:00001284:00004,cvm,【夕呼】「哦～…………」<01>,[],layout_only,7cee11a617ceea7958b3d8481be9659bd375d5598e966069a7b51a65ca24140f,ccee844d17cf78f6438ded45ea95924344f69b4d97dc5c0b51a3264ae9a7c087
pm:vm:photonmelodies11.rio.004:860955960:00001328:00005,cvm,【武】「怎、怎么了？」<01>,[],layout_only,5a52ffc03ee2941e8490e446f8544aaaa1fb8b816bacbf71d5ac2785bb2d2051,b4be9bf75ec993906410b809168abf73dc42be0c5e51fc45928866aeafabaf82
pm:vm:photonmelodies11.rio.004:860955960:00001384:00006,cvm,【夕呼】「嘴上说得好听…………<0A>反正没有人会认为白银是个清心寡欲的男人，<0A>你尽管放心」<01>,[],layout_only,24f9c6abe401a2b260255412b60ecf5d97ef742ec6192f2928dcb336c697670a,374e84ceec4238b94aa3ea240b50d0b7177982d6253d0b9b0e7af36d562fe273
pm:vm:photonmelodies11.rio.004:860955960:00001428:00007,cvm,【武】「这是什么意思？」<01>,[],layout_only,b0c9286d51f2fd57dd1f9249a5365c9b340056ca916dc192eb516ee06a457547,bb8f800d06da3a43eb64089097b107493c1b19e92d5d507c017a7aa7c407ce0d
pm:vm:photonmelodies11.rio.004:860955960:00001484:00008,cvm,【夕呼】「你就是来看泳装的吧？」<01>,[],layout_only,6dbdd2c30750683e97d8c84bd9569afe17f13d9523ba037206f3110c40ca0b6d,9da3753aacdc1c8a0cd81258c4eff7241769883f2011826ead660dfe9ee1ba66
pm:vm:photonmelodies11.rio.004:860955960:00001528:00009,cvm,【武】「才、才不是！」<01>,[],layout_only,42ba6a7fe03e3dd27a5ec240793f8723f8418e326e6a2685739ae42af7008b57,86a63503fab35f13a8c77e22d0933b887dc8d7ab719b922dce294e0742baebf4
pm:vm:photonmelodies11.rio.004:860955960:00001584:00010,cvm,【夕呼】「呵呵，还急眼了…………」<01>,[],layout_only,fde07534ee06f03e7422aae78c5c9f8d5f4cc747fb56430b9997d7a04e0e0942,fb22442ad091ec924d9d174ddca0cbcb27bc7c57ca281a86b1c178759ccfccec
pm:vm:photonmelodies11.rio.004:860955960:00001628:00011,cvm,可恶，她绝对是在捉弄我…………。<01>,[],layout_only,a4db8850cef8b58a04f41b750fe25ddc0e807765ebfea82b1933de74bee698e5,8e0f63873a3d4462f9d264842b7c9f1d7ddc8194a1e10b075ba064e06c927775
pm:vm:photonmelodies11.rio.004:860955960:00001672:00012,cvm,【武】「先不说这个，倒是老师你们，不是要去城里吗？」<01>,[],layout_only,15f97448f3648d68d852968cd14e4f7b683ebfe1677c9c2c3b2f930963e78921,02d0b16dc9530fdc494e3e5845a157fb3a424d60a71d106cb3fde1e078a9e270
pm:vm:photonmelodies11.rio.004:860955960:00001904:00013,cvm,【夕呼】「所以，你看上谁了？」<01>,[],layout_only,95cf8171ed3deff7ab4c3a64e525905c2495ded5f82d7a316e9594cad83eee07,6fd4a5cc99c48cb4bfcc64ec85c81cfefbfbef275a0b450fd2d505790cbaaa1f
pm:vm:photonmelodies11.rio.004:860955960:00001948:00014,cvm,【武】「哈？」<01>,[],layout_only,7e04785c8196951bee9d8f2057ac741a96953f4c72a18651bb950197531f630a,b55249e3c0ee06935938d08a2f8a65d886e446dd4c309f96d3566d3e47b2f343
pm:vm:photonmelodies11.rio.004:860955960:00002004:00015,cvm,【夕呼】「所以说～，我是在问你盯上谁了，<0A>啊…………至于谁也没看上这种，<0A>扫兴的答案就免了」<01>,[],layout_only,6be2be8df9883d773590e90c3de220ee75e8789ba2794540fb338210b3e14953,aac58f4d41c6bb7dd95863408b2239602c324b5e9284cf7a481eaf25a7a5a196
pm:vm:photonmelodies11.rio.004:860955960:00002048:00016,cvm,【武】「呃…………」<01>,[],layout_only,6743aa101df4f596f3f43d5858114edad193de5fc17f167adae3cde15e0376eb,ca07acfce0d17ce88ab687408fb91112c513d16b9ce43c2d34ecd3292108742d
pm:vm:photonmelodies11.rio.004:860955960:00002272:00017,cvm,【夕呼】「你也看看气氛啊～？蓝天、白云、碧海、<0A>白沙滩…………在这么开放的氛围里，<0A>还有比这更火热的话题吗？」<01>,[],layout_only,6fd28253f7672d7a8e32ae6de172198933e9e07ffc57aaff383e9817d83a69a5,851d72ca22d1a6b0980c514893499a91d57ba4c2fd1ae839fa6284a05e5cdfff
pm:vm:photonmelodies11.rio.004:860955960:00002316:00018,cvm,…………我觉得明明多得是，<0A>也很想吐槽一句『已经这么热了，还要更火热做什么』…………<0A>可结局肯定是被她十倍奉还。<01>,[],layout_only,cb75d1f0adc8264f693202b11c0fa716243ecf6c84e8207c69305f82cdf1762f,92d745088a10100e82c25abe53b1aaeaf34e9c3f0e5e2a41d38ecf0a85033b09
pm:vm:photonmelodies11.rio.004:860955960:00002360:00019,cvm,【武】「呃，那就…………」<01>,[],layout_only,e9b6c16379d7d740eb39f1cffd007c6d285e18d79e4e217328240487786f562a,072ce3dede529f54ec92b7fe9e1b89e601d93289be7685287cdb7ed23f95e85a
pm:vm:photonmelodies11.rio.004:860955960:00002728:00020,cvm,【夕呼】「啊，可不能选我哦～？」<01>,[],layout_only,9da2dd778cd5cfb3f05bdcf879081dc6b795ab30edbaa78b2c5cfd37b5f1e78f,a9a325e1228f0df921a517ea12c03589db66fa4efae7e7a455aff8c4b16b32f8
pm:cstring:photonmelodies11.rio.004:860955960:2766,cstring,那就选纯夏吧,[],,cfb49f510451089f756803cea30a45c217462ee3811cae60d49a1b9886e53472,e06dcabe91070a6a09c6d1c598881660c1276a06f91d60a3e50d9b3595a6528f
pm:vm:photonmelodies11.rio.004:860955960:00002772:00021,cvm,【武】「啧…………」<01>,[],layout_only,f66fcb6be7851b9bd59031f27c4402a6910ecf5adcd5b62b8316a619bb069760,44c8d6306059b36e66f785fcf068ecc2b598af097d593772eb5022266dfcfeec
pm:cstring:photonmelodies11.rio.004:860955960:2889,cstring,当然是霞,[],,b45b57ee83f390bc98f2070c24f58bd03cd43a3003dbd0e32387209b3e3f7177,a414493d49ed6144524333d03123995743ecca607130063ae5a74ce0f4b3f344
pm:cstring:photonmelodies11.rio.004:860955960:2988,cstring,直说吧！就是小麻！,[],,2ac5bb3c6fa484b143fd707aa07f1751b165cd28823448746333e29b5c9ffc2f,e4cab1f5cedbe28ee90498aadce205014b8f066fd10e3e837efb019d09f6905f
pm:cstring:photonmelodies11.rio.004:860955960:3101,cstring,特斯莱夫老师……吧,[],,d4f8cfb36b6b9c5b2cbf25e301f33cad5b50e7f8258426a1f7ed47d221ae056c,75196aead3be09bc04e74a913121d8f702558aa259480293f206611f56747987
pm:cstring:photonmelodies11.rio.004:860955960:3212,cstring,皮亚蒂芙老师……吧,[],,9d0e0b9e82939d23fd4d3e8148545e41ad4b71e9a71f0e07bffd285f25f018bd,bfb1c9cde3365091631c7b10279b98aa77e8caf4e32f72b7099dada0fb0e177f
pm:vm:photonmelodies11.rio.004:860955960:00003616:00022,cvm,【武】「那就选纯夏吧」<01>,[],layout_only,d578726ba99321e167c649c0a59caf81a5c8d3506eea8fb9905d575b6db73537,4c76b59e84f8beb9c1e9c735fbc97397d66265b4383a85bb3585cb2f2bde1fea
pm:vm:photonmelodies11.rio.004:860955960:00003672:00023,cvm,【夕呼】「哦…………最后果然还是选了她啊」<01>,[],layout_only,41f18f3cba498697f401cd66e3a6e0778c423a482f9b3a1ea9bb4ca7a1f03ede,4021f917e473fa2be4fc1235b929e6dc06f858edb4ff4d98791bb37a1e4182b8
pm:vm:photonmelodies11.rio.004:860955960:00003716:00024,cvm,【武】「这个嘛，不是最稳妥吗？」<01>,[],layout_only,53e3086f08563661c23bc21d00b00770026d009317503125fa32ad36100b2689,731c453c4e66d0df6a85f5f8e4b99182c61a5437cc2579f4bd6369bed1bf573e
pm:vm:photonmelodies11.rio.004:860955960:00003772:00025,cvm,【夕呼】「哦～～～」<01>,[],layout_only,65fa2b48499ce2f281219fd9fd73c268e8d6a2470a7c51aa0ba509329a79f2ec,5ae0f99d258d122a8e9d74ea412b7e9046ee3cfcd3ac6d662691ba057a000797
pm:vm:photonmelodies11.rio.004:860955960:00003828:00026,cvm,【声音】「小武？」<01>,[],layout_only,e612197c891f72e5d3e21cbc17010517ef2e47bd89fc72e54ba259d3a56463b5,78a1916c1039b13c0559513bff8b454f7403a51c916500d79b9c1254f8b574f2
pm:vm:photonmelodies11.rio.004:860955960:00004184:00027,cvm,糟……………………。<01>,[],layout_only,02109444907dc1e68326a72d379e485849f8a1d027899751436d5451beafca3c,200bad2f95cc5172777a093726d4d6b041280f2031f8923ddb46eed4a33348b1
