binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:1457084560:00000628:00001,cvm,【武】「…………喂——，是谁啊？」<01>,[],layout_only,c18d69f864c6db8dc034cd87cbe4a42d356dc7718aaa7b0ce6232def4f372a86,28b499c4c48f6ececf029dc0d602d33f1e2efa2f0ebc21ecebca1268df93e68d
pm:vm:photonmelodies11.rio.004:1457084560:00002652:00002,cvm,【武】「什么啊，原来是班长…………」<01>,[],layout_only,3392cbf01f3247fea2591c05d2b4226fe45dafcf0a57bb84412737338552465b,28aeb02f63c2e9271a9f49224182b81acb9f02610041ef6f67e905aa30bef541
pm:vm:photonmelodies11.rio.004:1457084560:00002952:00003,cvm,【千鹤】「真失礼…………明明是你把人叫住的」<01>,[],layout_only,701069161e96452e8af13312165886aa8a7fcd05ab46e65dc43d4a079480060b,98713582a2ddfc258a5139e31b98cbd3e91530045d0e63ec0dc8cd7c399b9a19
pm:vm:photonmelodies11.rio.004:1457084560:00002996:00004,cvm,【武】「哇哈哈…………抱歉，实在是什么都看不清嘛～～！<0A>不过，我还以为你早就睡了」<01>,[],layout_only,54932f68696b3cbcaf18b5af908b0d72b6894280bb8b8a6418434e15ed8604e8,c54b840b5e25436e8b2fab0dd63db40193c86f3b65fd6d3fcafc53f61c3ab878
pm:vm:photonmelodies11.rio.004:1457084560:00003296:00005,cvm,【千鹤】「嗯，原本是打算睡的。<0A>只是最后又出来稍微散了会儿步…………觉得错过太可惜了」<01>,[],layout_only,e3b69898e23eea5f1f55b1f8cbb32f6403e87200768d0879fb1e5e9a3b53dd10,deb7571d1d64cd331206c9dbb8abe68728166fac450d8adc85a6d2ed7bf0e9de
pm:vm:photonmelodies11.rio.004:1457084560:00003340:00006,cvm,【武】「太可惜了？」<01>,[],layout_only,3247fd01b479fa7c263496a35366def3981cedc0ccd90f2c8a243b5dd1e14e70,008c6e2901065b3b706c4adc17b984655c890f6eb72b40c9a54a65c610cf7f17
pm:vm:photonmelodies11.rio.004:1457084560:00003640:00007,cvm,【千鹤】「夜晚的风景只有晚上才能看到哦？<0A>…………虽然这是理所当然的事，你懂吗？」<01>,[],layout_only,b18c3b6916889b05f3c58cdc34f46697319b7739738c87ad9cf7a1bc8026cb31,90cddd9d5670734b090b92d0e3c4b5624d5bbe9e84d31f865714b6b4b7b71200
pm:vm:photonmelodies11.rio.004:1457084560:00003684:00008,cvm,【武】「真失礼！我当然懂。<0A>该怎么说呢…………嗯，我懂啦！」<01>,[],layout_only,2672d9671c8f8dcc3a49246b160a011dcc951caad63e25a4ebfedb7ae33f3a1a,20917861315fc2f9a8c185e6eb9925db8629554424a0395d729eb482885d3049
pm:vm:photonmelodies11.rio.004:1457084560:00003984:00009,cvm,【千鹤】「呵呵…………真的吗？」<01>,[],layout_only,ab60693ba57f972e3762497144811c205d71a83611365f94f357643d119f56e9,0ab624042a0a4da1e0c2455d1280aad470db0d4d4d8452d3dd09ddb94ea70da7
pm:vm:photonmelodies11.rio.004:1457084560:00004028:00010,cvm,【武】「啰嗦」<01>,[],layout_only,380d00b2506e0aa73009f107548026b03ddeb4822e715cc7aa04297b4ddb17c3,009984cbdbe9ded19b66513133da803936518c69d7e0cb9e8cacd848303bb5a4
pm:vm:photonmelodies11.rio.004:1457084560:00004356:00011,cvm,【千鹤】「话说回来，你的伤没事吧？」<01>,[],layout_only,d6fb341cc4b13e82d18beabe9258cae14cfc814175e8f2d928216b26e3bd0ad6,ad141af93f1841dda39d7b1cae9b95d94c7c733e3d13f971dc9fb23a8477ae05
pm:vm:photonmelodies11.rio.004:1457084560:00004400:00012,cvm,【武】「嗯？啊，完全没事！连擦伤都没有」<01>,[],layout_only,7072361040ab462cc7d1f62c0b307f3a365382fc50ca9cc628cfacb94fa59c57,52a9b98b2ac185d6942170575e01993df340d72ede19877bd89a44fbac372aeb
pm:vm:photonmelodies11.rio.004:1457084560:00004456:00013,cvm,【千鹤】「是吗…………太好了。<0A>真是的，别这么吓人啊。」<01>,[],layout_only,b65eebb7b9bd2406de27b4fc630a72c7d6f951f45ba486bbc62cdc4dfbd2f80d,6b8af716540ec6b7ca5fba8cfec6fec58cfb9be102927af9cbec72931149ea75
pm:vm:photonmelodies11.rio.004:1457084560:00004500:00014,cvm,【武】「哈？又不是我的错！我是受害者啊！！」<01>,[],layout_only,1325e85a03308f5eb1880af1538b6969e8335bfe8fe5040dd710b271c74f6b4d,4a0f1940be09b37529e16bf201544fdd0893028dfdc265b8dcfd53cfcf05f795
