seq,id,file,scene,speaker,jp,cn_current,cn_revised,status,issue_type,reason,needs_user_decision,term_hits,context_note,prev_context,next_context,review_model,prompt_mode
1605,game_t01604,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,,だが推進剤だけはどうにもならない――デポ方式に耐えうる量がないという話のはずだった。,但推进剂却无论如何都无计可施——本应是说没有能承受基地补给方式的量。,但只有推进剂无计可施——本应是说没有足以支撑补给站方式的量。,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,,デポ方式指基地补给方式，当前翻译可接受。 | Codex confirmed and applied.,1602 ウィル JP:「――以前の方針説明によれば、\w艦内に残された推進剤と補給コンテナでハワイに到達することは不可能だったはずですが」 CN:「――根据之前的方针说明，用舰内残留的推进剂和补给容器应该不可能到达夏威夷才对」 || 1603 旁白 JP:原子炉があるから水と電力は何とかできる。 CN:因为有原子炉，水和电力还能想办法解决。 || 1604 旁白 JP:食料もしばらくは持つし、\w塩なんて腐るほどある。 CN:粮食还能撑一段时间，盐更是多到发霉。,1606 ダリル JP:「その前提に変更は無いよ。急に推進剤が海から湧いてきたわけじゃあない」 CN:「那个前提没有改变。推进剂不会突然从海里涌出来。」 || 1607 ダリル JP:「だが、\w何もハワイまで機体がたどり着く必要は無いだろう？　要は交信可能圏まで到達できればいいのさ」 CN:「但是，机体没必要一直飞到夏威夷吧？只要到达通信范围就行了。」 || 1608 ウィル JP:「それは…\w…\wそうですが…\w…\w」 CN:「那是……确实如此……」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1615,game_t01614,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,,そうだ…\w…\w。推進剤の遠方貯蓄自体に推進剤を使わざるを得ない、\w極めてリスクの高い方式なんだ。,是的……这是一种不得不将推进剂用于推进剂的远程储存本身、风险极高的方式。,是的……为了把推进剂储存在远方，本身就不得不用掉推进剂，这是一种风险极高的方式。,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,リスク=>风险,调整语序使更符合中文表达，同时保留原意。 | Codex confirmed and applied.,1612 ダリル JP:「もちろん進出可能距離や推進剤の必要量は計算してるけどねえ、\wこの辺は気象条件にも左右されるから絶対とは言えない」 CN:「当然，虽然计算了可进入距离和推进剂的必要量，但这一带也受气象条件影响，所以不能说绝对。」 || 1613 ダリル JP:「途中で戦術機が事故りでもすりゃあ、\w色んな計算がおじゃんになる」 CN:「途中战术机要是出了事故，各种计算就全泡汤了」 || 1614 ウィル JP:「…\w…\w…\w…\w」 CN:「…………」,1616 旁白 JP:推進剤を備蓄して戻ってくるのにだって推進剤を使うのだから、\w航続距離を伸ばすたびに指数関数的に必要な推進剤の量が増えてゆく。 CN:储备推进剂并返回也需要使用推进剂，因此每次延长航程，所需的推进剂量都会呈指数级增加。 || 1617 ダリル JP:「それに、\wもしハワイ側がまったく交信可能圏を拡大していない場合――」 CN:「而且，如果夏威夷方面完全没有扩大通信圈的话——」 || 1618 ダリル JP:「さっきも言ったとおりさ。最良の条件で見積もっても、\wアタシらがハワイにたどり着くことは無い」 CN:「刚才也说过了。即使按最佳条件估算，我们也到不了夏威夷」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1634,game_t01633,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,リリア,「沿岸を進む場合、\w途上においても漂着者が存在する可能性は低くないものと思われます」,「沿岸行进时，途中存在漂流者的可能性不低。」,「沿岸行进时，我认为途中存在漂流者的可能性也不低。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,,リリア在陈述自己的判断，语气应体现主观推测。 | Codex confirmed and applied.,1631 旁白 JP:リリア、\wおまえまた…\w…\w！ CN:莉莉娅，你又……！ || 1632 リリア JP:「ハワイの規模から言えば、\w少なからず兵力が残っている可能性があります。それにブルーオーシャン作戦で生き残った艦は――」 CN:「从夏威夷的规模来看，有可能残留不少兵力。而且蓝海作战中幸存的舰艇——」 || 1633 リリア JP:「ＪＦＫや私の乗っていたシアトルと同様、\wハワイ、\wもしくはグアムを目指していたはずです」 CN:「与JFK和我乘坐的西雅图一样，应该是前往夏威夷或关岛」,1635 旁白 JP:なんども言わせる気か…\w…\w？　おまえにその判断ができるだけの情報があるのかよ？ CN:非要我说多少遍……？你有足够的信息做出判断吗？ || 1636 旁白 JP:その判断を下すのは俺達じゃないだろう…\w…\w！ CN:做出那个判断的不是我们吧……！ || 1637 ダリル JP:「この計画――『フライング・ブーム作戦』に\nおいては、\w周辺の捜索活動を行う予定は無い」 CN:「在这个计划——『飞行吊杆作战』中，不打算进行周边搜索活动」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1663,game_t01662,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,ダリル,「単独の漂流者、\wという時点で、\wそもそも生存の可能性はほとんど無いのさ」,「单身的漂流者，从那个时点来看，本来生存的可能性就几乎没有啊」,「以单独漂流者来说，本来生存的可能性就几乎没有。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,,| Codex confirmed and applied.,1660 旁白 JP:そうだ…\w…\wその事をリリアも分かってないはずがない…\w…\w。 CN:是啊……这件事莉莉娅不可能不知道…… || 1661 ダリル JP:「一定規模以上の艦艇でなければ生存は難しい」 CN:「如果不是一定规模以上的舰艇，生存会很困难」 || 1662 ダリル JP:「逆にそのような艦であれば、\wこの作戦を進めるうちに自然と見つかるだろう」 CN:「反过来说，如果是那样的舰船，在推进这个作战的过程中自然会找到吧」,1664 旁白 JP:ああいう形でリリアが見つかったこと自体が奇跡なんだ。 CN:以那种形式找到莉莉娅本身就是奇迹。 || 1665 旁白 JP:奇跡がなんども起きる、\wなんてことを前提に作戦を組むことはできない…\w…\w。 CN:奇迹不可能多次发生，不能以此为前提制定作战计划…… || 1666 リリア JP:「…\w…\w…\w…\w」 CN:「…………」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1705,game_t01704,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,ダリル,「今回はまだ物資の運搬は行わず、\wまずは前回と同じく中継機の設置を担当してもらう」,「这次还不行物资的搬运，首先和上次一样负责设置中继机」,「这次还不进行物资运输，首先和上次一样负责设置中继机。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,まだ=>还; 物資=>物资,| Codex confirmed and applied.,1702 ウィル JP:「はッ！　承りました！」 CN:「是！遵命！」 || 1703 旁白 JP:いくらリリアが歴戦の衛士でも、\w今回はこの環境での経験が考慮されたんだろう。 CN:就算莉莉娅是身经百战的卫士，这次大概也是考虑到了她在这种环境下的经验吧。 || 1704 旁白 JP:これなら、\wリリアの暴走を抑えることもできるはずだ。 CN:这样的话，应该也能抑制莉莉娅的暴走了。,1706 ダリル JP:「――メルも徹夜で協力してくれたからね。無駄にするんじゃないよ？」 CN:「――梅尔也通宵帮忙了。可别浪费了她的心意哦？」 || 1707 ウィル・リリア JP:「了解――！」 CN:「了解——！」 || 1708 リリア JP:「――ナイヴス３よりナイヴス２、\w対地光学映像記録完了。ＧＰＳ照合開始します」 CN:「——黑刃3呼叫黑刃2，对地光学影像记录完成。开始GPS对照。」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1724,game_t01723,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,ウィル,「そろそろウチの隊の伝統だな、\w性能のいい通信機は」,「差不多该是我方队伍的传统了，性能好的通信机是」,「高性能通信机，也差不多该成我们队的传统了啊。」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,性能のいい=>性能好的; ウチ=>我方/本舰,前文莉莉娅听不清通信，ウィル讽刺通信机性能差是传统。 | Codex confirmed and applied.,1721 ウィル JP:「リリア、\w聞こえてるだろ。高度を下げてくれ」 CN:「莉莉娅，你听到了吧。请降低高度。」 || 1722 リリア JP:「――ナイヴス３よりナイヴス２、\wよく聞こえない。再度送信願う」 CN:「——黑刃3呼叫黑刃2，听不清楚。请再次发送。」 || 1723 旁白 JP:やれやれ…\w…\w。 CN:哎呀呀……,1725 旁白 JP:気持ちは分かるけどな、\wこれで懲罰でも食らったら設置任務から外される可能性もあるんだぞ？ CN:心情可以理解，但要是因此受到惩罚，也有可能被排除出设置任务哦？ || 1726 旁白 JP:面倒くさい奴だが、\wそれはそれで隊の負担になる…\w…\w。 CN:麻烦的家伙，但那样会给队伍带来负担…… || 1727 ウィル JP:「リリア、\wこれからも長いんだ。頼む」 CN:「莉莉娅，今后也很漫长。拜托了」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1813,game_t01812,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,リリア,「いっけぇぇぇ――！！」,「去吧——！！」,「冲啊啊啊——！！」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,,原文为莉莉娅在紧张局势下的呐喊，应体现激烈情绪。 | Codex confirmed and applied.,1810 ウィル JP:「え――？」 CN:「诶——？」 || 1811 旁白 JP:リリア、\w今、\wなんて――？ CN:莉莉娅，你刚才说什么——？ || 1812 ウィル JP:「ナイヴス２よりナイヴス３！　もう一度――」 CN:「黑刃2呼叫黑刃3！再来一次——」,1814 ウィル JP:「――ッ！」 CN:「――！」 || 1815 旁白 JP:あのバカ――！ CN:那个笨蛋——！ || 1816 旁白 JP:ロケットモーターに点火しやがった！ CN:火箭发动机点火了！,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1841,game_t01840,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,リリア,「――え…\w…\wっ？」,「」,「——诶……？」,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,,review call failed | Codex confirmed and applied.,1838 リリア JP:「――応えて…\w…\w！　お願い――！！」 CN:「——回答我……！求你了——！！」 || 1839 旁白 JP:…\w…\w…\w…\w。 CN:…………。 || 1840 旁白 JP:おまえ…\w…\wどうしてそこまで必死に…\w…\w。 CN:你……为什么那么拼命……,1842 旁白 JP:…\w…\wなんだ？ CN:……什么？ || 1843 リリア JP:「――ナイヴス３よりナイヴス２！」 CN:「——黑刃3，黑刃2！」 || 1844 ウィル JP:「これは…\w…\w！」 CN:「这是……！」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1851,game_t01850,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,,馬鹿野郎、\wまだ進出許可が出てないってのに！,混蛋，还没批准进军呢！,混蛋，前出许可还没下来呢！,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,まだ=>还,当前CN已包含'还没'，实际与JP对应，无需修改。 | Codex confirmed and applied.,1848 旁白 JP:名実と共に隊長２号だなこいつは…\w…\w！ CN:名副其实的队长2号啊这家伙……！ || 1849 リリア JP:「――ナイヴス３、\w直接確認します！」 CN:「――黑刃3，直接确认！」 || 1850 ウィル JP:「あっ…\w…\w！」 CN:「啊……！」,1852 旁白 JP:くそっ、\wさっさと独断専行しやがって…\w…\w！ CN:可恶，擅自独断专行……！ || 1853 ウィル JP:「――ナイヴス２よりソルティ・ベース！　光学にて座礁した救命艇を発見、\w救難信号の発信は確認できず！」 CN:「――黑刃2呼叫索尔蒂基地！光学发现搁浅的救生艇，未确认到求救信号的发送！」 || 1854 ウィル JP:「進出可能圏内につき、\w直接確認の許可を願う！」 CN:「在可进入范围内，请求直接确认许可！」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
1860,game_t01859,050_UAF_DAY95_01.egpack,050_UAF_DAY95_01,,勝手に無茶しやがって！　捜索活動で動力降下とか冗談が過ぎるぜ！,擅自乱来！搜索活动中的动力下降什么的玩笑开过头了！,擅自乱来！搜索活动里搞动力俯冲，玩笑也开过头了！,自动修正,二次复核修正,Codex逐槽位二次复核：按JP和上下文确认当前译文需要修正，已写回最终表。,no,動力降下=>动力俯冲,动力降下在军事/航天语境中常指推进剂或燃料下降，建议确认具体术语。 | Codex confirmed and applied.,1857 旁白 JP:――って、\wリリア、\w飛ばしすぎだろ…\w…\w！ CN:——喂，莉莉娅，飞得太过了吧……！ || 1858 ＪＦＫオペレーター JP:「――ソルティ・ベースよりナイヴス２、\wデータ受領完了。許可あるまで待機せよ」 CN:「――从索尔蒂基地收到黑刃2的数据。在获得许可前待命」 || 1859 ウィル JP:「――了解！」 CN:「——了解！」,1861 旁白 JP:推進剤切れになったら洒落にならねえんだよ――！ CN:推进剂用完了可不是闹着玩的——！ || 1862 旁白 JP:早く…\w…\w早く追いつかないと…\w…\w！ CN:快……不快追上的话……！ || 1863 ＪＦＫオペレーター JP:「――ソルティ・ベースよりナイヴス・リード、\wナイヴス両機による直接確認を許可する。繰り返す、\wナイヴス両機――」 CN:「――索尔蒂基地允许黑刃长机及黑刃两机进行直接确认。重复，黑刃两机――」,deepseek-v4-flash,slot-by-slot-second-review-jp-primary-no-en-thinking-disabled
