binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:601851372:00001208:00001,cvm,【武】「哎呀，今天天气真不错……」<01>,[],layout_only,ceb36668e411d3fc5ad4e0cc4c24418cc55471251c82369520d0388c2c075a9b,6db7548d077a68b6c991116a31d0c939ab8303ee2a6985fc49212d1438ec4fa5
pm:vm:photonmelodies11.rio.004:601851372:00001264:00002,cvm,【悠阳】「确实，可以说是最适合特训的好天气」<01>,[],layout_only,51ee399ddf3987d4eca6812364c751a06371de0f2f9f1a18b39f0e7c193303e3,17aa89f3221fcdbe44e716579c869f71c9ed6f66a43598388a700dc9eac59e51
pm:vm:photonmelodies11.rio.004:601851372:00001308:00003,cvm,【武】「果然啊，这种事，气氛和场地都很重要吧～？」<01>,[],layout_only,b66bb80cffe011dae98c17f007c6bfe3a0814526913d50f003b71905a08353c0,7804fd9d1335ac7cc06ecc468997896a1dda616f28c0ba132904aa10d3c55090
pm:vm:photonmelodies11.rio.004:601851372:00001540:00004,cvm,【悠阳】「正是如此」<01>,[],layout_only,05cb3c278b7ecacd4a2a0e4deeaf351560fa9c4e05571f155fbfbe1dcdaee70a,3cb75a73fc1c8df03e726b54a597ca0984d8dd821ab67b0e2084d345d942944f
pm:vm:photonmelodies11.rio.004:601851372:00001584:00005,cvm,这要是赶上起雾或刮暴风雪的日子，人肯定会一下子泄气。<01>,[],layout_only,be56b1653ca70409d5b49a7cbb521593e07fc33e515ad1a81869aeaac9e953ab,6c61785f6acea175f0391a0ed43e36136e3f671bf2a86eb23a040c2937633c25
pm:vm:photonmelodies11.rio.004:601851372:00001628:00006,cvm,【武】「不过，有句话我只跟你说啊……」<01>,[],layout_only,837b9bf3e9cf0a9db5bc49feabaacf6aebe5554bb0f5e2ce13795745ccc3488d,d2d5a6f942aca7e8f6ab4b6a2b1470ed0500ac10a6d845904e71f3ae97c91593
pm:vm:photonmelodies11.rio.004:601851372:00001860:00007,cvm,【悠阳】「什么事？」<01>,[],layout_only,b8700c1f8c6d57564681efa33b6289614e4193da992b385448abf0698cc48671,520d76dc387d8c167c08c19bc18437bd951c9ac768387b875857b514860eb7c2
pm:vm:photonmelodies11.rio.004:601851372:00001968:00008,cvm,【武】「拜托悠阳来教我，或许真是正确选择……<0A>我现在深有体会」<01>,[],layout_only,f00f53430935b2e851b3061288be4d5be356fba6b96a64623553c323b2d45dfc,ee1ac90a75ed424544fa8acf0a4dc6c43837756439e306005847dd3c98bda220
pm:vm:photonmelodies11.rio.004:601851372:00002200:00009,cvm,【悠阳】「……您这么说我很高兴……<0A>不过，为什么突然这样说？」<01>,[],layout_only,9f1aa9996fd97ce12ceaf38e5467f3f0d9fc6642ed2f3188a97c047f7f756668,43b8a38632e8bd347026f591d213444f872badec24bcf53ca2e76989075ff9a7
pm:vm:photonmelodies11.rio.004:601851372:00002244:00010,cvm,【武】「如果老师换成冥夜，我现在肯定已经在山顶了」<01>,[],layout_only,fed60d972d8ffd050f4f0246ff0f5eaea19c767785a610d609aac9aa992f82d4,90690a7cacfe1b4b801fb98b3d447eb457c0387be4928713b71c6a1f10e770e0
pm:vm:photonmelodies11.rio.004:601851372:00002288:00011,cvm,我昨天就知道有这种可能，可真正到了今天，<0A>才再次感到没有变成那样是多么幸福。<01>,[],layout_only,42f05640f15613c9c7b21c66e23703d5fa2bd5514d4170b69fc5fc0f4b9b76c1,ef668eac5994acad3c9cba3fdcc8bcc127a137400889a26adb733b395aa57c48
pm:vm:photonmelodies11.rio.004:601851372:00002332:00012,cvm,无论如何，那样做也……太鲁莽了吧？<01>,[],layout_only,7cb6d5bfafb4b42ce43f1b1f08a23113a70443d03ef55902afcd03d5324fbf38,a79fa564f09650b7afd574ce76cba11d2c8603570b9117aa2b4bde3d983656ea
pm:vm:photonmelodies11.rio.004:601851372:00002656:00013,cvm,【悠阳】「讨厌啦，武先生……<0A>凡事都有个先后顺序。我不会做那么乱来的事」<01>,[],layout_only,26b20ed758b55511d621ab23fc4dc5e70af94d13ca2df149d96e71cbdc3326d7,dc94c9219dee58dfaa535306a99d615bc5e2cdab48a04117673fc44462ca6442
pm:vm:photonmelodies11.rio.004:601851372:00002700:00014,cvm,【武】「对吧～？」<01>,[],layout_only,f06551b4f6caef7ee7ddcf1f2d0801807c9c73411f0fc49cbe8516e049e5330b,8fca6c7c2f44a799dc8e80d61592c46748aff3073e3dba65177b6ba331b79aa5
pm:vm:photonmelodies11.rio.004:601851372:00002776:00015,cvm,【武】「有悠阳当老师，我真是太幸福了……」<01>,[],layout_only,eef0478cfbc3fa93cdc32df9306986eccd9122fa5af99ee0396a4ae0047d59e1,56f903742e6f88f235607fbd1cfce54456c95d7df7083a9509d3b0e024778754
