relative_path,id,slot,expected_text,replacement_text
０２０：１９９７年_06：昼食.egpack,game_t00453,jp,総戦武のことを考える,想想综战武的事
０２０：１９９７年_06：昼食.egpack,game_t00454,jp,装甲剣道部のことを考える,想想装甲剑道部的事
０２０：１９９７年_06：昼食.egpack,game_t00455,jp,装甲剣術について考える,想想装甲剑术
０２０：１９９７年_10：提督の特別講義　４月２５日　協調のきっかけ.egpack,game_t01344,jp,注意する,提醒她
０２０：１９９７年_10：提督の特別講義　４月２５日　協調のきっかけ.egpack,game_t01345,jp,今はやめておく,现在先算了
０２０：１９９７年_14：強化装備座学　５月２０日.egpack,game_t01831,jp,座学は真面目に聴く,认真听课
０２０：１９９７年_14：強化装備座学　５月２０日.egpack,game_t01832,jp,知っているのでもういい,已经知道了，不用再听
０２０：１９９７年_14：強化装備座学　５月２０日.egpack,game_t01879,jp,座学は真面目に聴く,认真听课
０２０：１９９７年_14：強化装備座学　５月２０日.egpack,game_t01880,jp,知っているのでもういい,已经知道了，不用再听
０２０：１９９７年_19：実機訓練　７月１５日.egpack,game_t02332,jp,座学を思い出す,回想课堂所学
０２０：１９９７年_19：実機訓練　７月１５日.egpack,game_t02333,jp,自分を信じる,相信自己
０３０：１９９８年_43：臨戦待機　同日　１４日.egpack,game_t03597,jp,事前処置について考える,考虑事前处置
０３０：１９９８年_43：臨戦待機　同日　１４日.egpack,game_t03598,jp,山城との会話に集中する,专心与山城交谈
０３０：１９９８年_59：トンネル通過前.egpack,game_t04430,jp,強化外骨格に換装してトンネルに退避,换装强化外骨骼，撤入隧道
０３０：１９９８年_59：トンネル通過前.egpack,game_t04431,jp,山城の指示に従い稜線を飛び越える,遵照山城指示，飞越山脊
０３０：１９９８年_59：トンネル通過前.egpack,game_t04432,jp,このまま留まる,留在原地
０３０：１９９８年_60：無事だった唯依　燃える帝都　十数分.egpack,game_t04482,jp,座学を想い還す,回想课堂所学
０３０：１９９８年_60：無事だった唯依　燃える帝都　十数分.egpack,game_t04483,jp,今はその必要はない,现在没有这个必要
