jp,cn,context
YOKOHAMAスカイウォーカー,YOKOHAMA Sky Walker,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:61。仅作语境审校参考，不自动替换。
あきら,晶,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；正式 Alternative 精确日中对；覆盖旧 glossary 的“明”。；来源 pf-al-table:62。仅作语境审校参考，不自动替换。
おでんまん,关东煮包,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:31。仅作语境审校参考，不自动替换。
お師匠様,师父,EX 各篇；本篇人物关系与全文审核；来源 pf-ex-table:25。仅作语境审校参考，不自动替换。
すみか,纯夏,仅限完整【说话人】字段；不得用作正文子串替换
たける,小武,仅限完整【说话人】字段；不得用作正文子串替换
たけるさん,小武哥,EX 各篇；正式称谓证据；来源 pf-ex-table:6。仅作语境审校参考，不自动替换。
たけるさんのしっぽ,小武哥的尾巴,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:62。仅作语境审校参考，不自动替换。
まりか,麻里香,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；伊隅家人物简称统一。；来源 pf-al-table:63。仅作语境审校参考，不自动替换。
まりも,麻理茉,仅限完整【说话人】字段；不得用作正文子串替换 | EX 各篇；正式称谓证据；来源 pf-ex-table:2。仅作语境审校参考，不自动替换。 | AL 五篇；正式 Alternative 中文姓名。；来源 pf-al-table:3。仅作语境审校参考，不自动替换。
まりもちゃん,小麻（按句重组）,EX 各篇；正式称谓证据；按语境处理；来源 pf-ex-table:10。仅作语境审校参考，不自动替换。
まりも・壬姫・尊人・柏木,麻理茉·壬姬·尊人·柏木,仅限完整【说话人】字段；不得用作正文子串替换
みちる,美知留,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；正式 Alternative 中文姓名。；来源 pf-al-table:56。仅作语境审校参考，不自动替换。
みちるちゃん,美知留,AL 五篇；pf-al-self-adjudication-v1 家庭关系裁决；亲昵由语气承载，避免机械“美知留酱”。；来源 pf-al-table:90。仅作语境审校参考，不自动替换。
みちる姉ちゃん,美知留姐,AL 五篇；pf-al-self-adjudication-v1 家庭关系裁决；保留妹妹对姐姐的亲近关系。；来源 pf-al-table:89。仅作语境审校参考，不自动替换。
やよい,弥生,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；伊隅家人物简称统一。；来源 pf-al-table:71。仅作语境审校参考，不自动替换。
やよい姉ちゃん,弥生姐,AL 五篇；pf-al-self-adjudication-v1 家庭关系裁决；保留妹妹对姐姐的亲近关系。；来源 pf-al-table:88。仅作语境审校参考，不自动替换。
アクイラス,大鹫队,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
アクイラ１,大鹫1,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
アクイラ２,大鹫2,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
アクイラ３,大鹫3,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
アクイラ４,大鹫4,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
アクイラ５,大鹫5,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
アクセル・ビョルケル,阿克塞尔·比约克,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
アンリ・ギーツェン,亨利·吉岑,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
インド,印度,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オグラグッディメン,豆沙超人,EX 各篇；用户审定；来源 pf-ex-table:45。仅作语境审校参考，不自动替换。
オペレーター,作战管制官,AL 五篇；pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。；来源 pf-al-table:58。仅作语境审校参考，不自动替换。
オペレーター１,作战管制官1,仅限完整【说话人】字段；不得用作正文子串替换
オペレーター２,作战管制官2,仅限完整【说话人】字段；不得用作正文子串替换
オヤジ,大叔,仅限完整【说话人】字段；不得用作正文子串替换
オリジナルハイヴ,母巢,AL 五篇；pf-al-r0-v13 confirmed；repeated official Alternative exact pairs beginning alternative:alternative16.rio:1133593648:22364:60 and throughout Alternative final operations；来源 pf-al-table:31。仅作语境审校参考，不自动替换。
オーストラリア,澳大利亚,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
クロニクルズ,编年史,AL 五篇；用户最终裁定；三个 Chronicles 篇名统一。；来源 pf-al-table:2。仅作语境审校参考，不自动替换。
グレアム,格雷厄姆,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。；来源 pf-al-table:43。仅作语境审校参考，不自动替换。
コード９９１,代号991,AL 五篇；pf-al-r0-v10 confirmed；official exact Alternative pairs alternative:alternative16.rio:1146975552:160688:425; alternative:alternative16.rio:1149721454:68528:278；来源 pf-al-table:25。仅作语境审校参考，不自动替换。
ゴースト,幽灵,AL 五篇；pf-al-r0-v1 confirmed；official Alternative speaker alias exact instance；来源 pf-al-table:99。仅作语境审校参考，不自动替换。；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
ゴースト１,幽灵1,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
サンタうさぎ,圣诞兔,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:40。仅作语境审校参考，不自动替换。
ザウバー,扎乌伯,AL 五篇；pf-al-r0-v1 confirmed；official Alternative speaker alias exact instance；来源 pf-al-table:98。仅作语境审校参考，不自动替换。；2026-09-09 第二轮用户审定；军事代号按具体语境及编号使用。
ザウバー１,扎乌伯1,仅限完整【说话人】字段；2026-09-09 第二轮用户审定；不得用作正文子串替换
ザウバー２,扎乌伯2,仅限完整【说话人】字段；2026-09-09 第二轮用户审定；不得用作正文子串替换
ソース・醤油事件,酱汁·酱油事件,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:32。仅作语境审校参考，不自动替换。
ソ連,苏联,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ゾエさん,老副,EX 各篇；用户审定；来源 pf-ex-table:63。仅作语境审校参考，不自动替换。
タケルちゃん,小武,EX 各篇；正式称谓证据；来源 pf-ex-table:3。仅作语境审校参考，不自动替换。
タケルちゃんといっしょ！,和小武在一起！,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:64。仅作语境审校参考，不自动替换。
ダイバー,降下兵,AL 五篇；用户最终裁定；正文口语兵种称呼。；来源 pf-al-table:84。仅作语境审校参考，不自动替换。
チェックシックス,注意6点方向,AL 五篇；pf-al-r0-v17 confirmed；official exact Alternative pair alternative:alternative16.rio:1152994734:64817:158；来源 pf-al-table:50。仅作语境审校参考，不自动替换。
チキン・ダイバーズ,小鸡潜降兵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ツー,Two,本作原文命中；CRsa 补漏审核范围；2026-09-04 CRsa 术语审核记录；缩写和专名均须结合原注语境。；来源 photon-native:contextual_terms:10。仅作语境审校参考，不自动替换。
データリンク,数据链,"AL 五篇；pf-al-r0-v19 confirmed；repeated official Alternative exact pairs, including alternative:alternative16.rio:1133593648:109406:339 and alternative:alternative16.rio:1146152950:60552:82；来源 pf-al-table:59。仅作语境审校参考，不自动替换。"
トリ,鸟,仅限完整【说话人】字段；不得用作正文子串替换
ドリルミルキィパンチ,钻头牛奶拳,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:65。仅作语境审校参考，不自动替换。
ナディア,娜迪亚,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。；来源 pf-al-table:40。仅作语境审校参考，不自动替换。
ナノストップ,Nano Stop,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:46。仅作语境审校参考，不自动替换。
ハイヴ,巢穴,"AL 五篇；pf-al-r0-v15 confirmed；repeated official Alternative exact pairs throughout alternative16.rio, including alternative:alternative16.rio:1143184112:15951:81 and alternative:alternative16.rio:1143184112:16528:84；来源 pf-al-table:32。仅作语境审校参考，不自动替换。"
ハルバード,战戟,本作原文命中；CRsa 补漏审核范围；2026-09-04 CRsa 术语审核记录；缩写和专名均须结合原注语境。；来源 photon-native:reusable_terms:11。仅作语境审校参考，不自动替换。
バルゴ,巴尔戈,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:66。仅作语境审校参考，不自动替换。
バルジャーノン,Baljarnon,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:36。仅作语境审校参考，不自动替换。
パブロ,巴勃罗,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。；来源 pf-al-table:41。仅作语境审校参考，不自动替换。
パレオロゴス作戦,巴列奥略作战,AL 五篇；pf-al-r0-v13 confirmed；official exact Alternative pair alternative:alternative16.rio:1143670360:55760:250；来源 pf-al-table:33。仅作语境审校参考，不自动替换。
ヒュー,休,仅限完整【说话人】字段；不得用作正文子串替换
ヒュー・ウィンストン,休·温斯顿,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フランコ,弗兰科,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。；来源 pf-al-table:47。仅作语境审校参考，不自动替换。
ベニーニ,贝尼尼,AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。；来源 pf-al-table:55。仅作语境审校参考，不自动替换。
ベニーニ大尉,贝尼尼上尉,仅限完整【说话人】字段；不得用作正文子串替换
マイルドクルー横幅,竖滨 MILD CREW 水上乐园,EX 各篇；用户审定；来源 pf-ex-table:53。仅作语境审校参考，不自动替换。
マザーグース,鹅妈妈,AL 五篇；Chicken Divers 舰艇呼号词干。；来源 pf-al-table:94。仅作语境审校参考，不自动替换。
マザーグース１,鹅妈妈1,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；Chicken Divers 带编号舰艇呼号。；来源 pf-al-table:95。仅作语境审校参考，不自动替换。
ミキ,壬姬,仅指珠濑壬姬（壬姫）的名字读音/自称，不是独立人物美纪
モニカ,莫妮卡,仅限完整【说话人】字段；不得用作正文子串替换
モニカ・ジアコーザ,莫妮卡·贾科萨,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ユーラシア,欧亚大陆,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ライトニングス全員,闪电全员,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
ライトニング２,闪电2,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
ライトニング３,闪电3,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
ライトニング４,闪电4,仅限完整【说话人】字段；不得用作正文子串替换；2026-09-09 用户审定中文呼号；仅限本作相应军事呼号。
ラクロス,长曲棍球,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:47。仅作语境审校参考，不自动替换。
