"call_order","id","rio_file","scene","speaker_jp","jp_text","cn_text"
"1","pm:static:photonmelodies11.rio.002:1214091360:00200432","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「…<03>…<03>何だ…<03>…<03>と！？」<01>","【清十郎】「…<03>…<03>你说…<03>…<03>什么！？」<01>"
"2","pm:static:photonmelodies11.rio.002:1214091360:00200538","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","軍用地下鉄道のプラットフォームから地表に延びる長い階段を抜けると、<03>そこは乳白色に輝く異郷の森だった。<01>","走完从军用地下铁路站台一路通往地面的长阶梯，<03>眼前竟是一片泛着乳白色光芒的异乡森林。<01>"
"3","pm:static:photonmelodies11.rio.002:1214091360:00200952","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","激戦極める欧州の最前線の要衝。
噂に名高い人類守護の要塞線・ドーバー基地群。<01>","这里是激战正酣的欧洲最前线要冲。
是号称守护人类的要塞线、声名远扬的多佛基地群。<01>"
"4","pm:static:photonmelodies11.rio.002:1214091360:00201476","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","――そんな言葉から連想されるものとは程遠い、<03>美しく幻想的な光景に俺は正直戸惑った。<01>","――可眼前这片美丽而梦幻的景色，<03>和这些词所唤起的印象相去甚远，让我一时有些不知所措。<01>"
"5","pm:static:photonmelodies11.rio.002:1214091360:00201876","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","いや、<03>戸惑うなんてものじゃない。
気勢をそがれる、<03>拍子抜け、<03>言い回しはなんでもいい。<01>","不，<03>这哪里只是困惑。
说是气势被泼了冷水也好，<03>期待落空也罢，<03>怎么形容都行。<01>"
"6","pm:static:photonmelodies11.rio.002:1214091360:00202420","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","遙か故国を幾千里――帝国斯衛軍の士官候補生総代として、<03>真壁家の男子として、<03>乾坤一擲の覚悟で海外視察研修に臨んだ俺は猛烈な肩すかしを喰わせられたのだ。<01>","我千里迢迢远离故国――作为帝国斯卫军士官候补生代表，<03>也作为真壁家的男儿，<03>本是抱着破釜沉舟的觉悟前来参加海外视察研修，却被结结实实地泼了一盆冷水。<01>"
"7","pm:static:photonmelodies11.rio.002:1214091360:00203040","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","運行上のトラブルで列車が定刻より1時間以上早く到着するという、<03>幸先良い出来事の直後だけに落胆は大きい。<01>","更何况就在刚才，还发生了列车因运行上的差错比预定时间早到一个多小时这种“好兆头”，<03>这份落差便更加沉重了。<01>"
"8","pm:static:photonmelodies11.rio.002:1214091360:00203198","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","む、<03>無念だ…<03>…<03>。<01>","唔、<03>不甘心…<03>…<03>。<01>"
"9","pm:static:photonmelodies11.rio.002:1214091360:00203614","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","始まりはもっと硬質で軍用施設然とした、<03>容赦のない緊張感からであって欲しかったのに。<01>","我原本希望开端更加冷硬、更像军用设施，<03>带着一种毫不留情的紧张感。<01>"
"10","pm:static:photonmelodies11.rio.002:1214091360:00204032","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","このような人を優しくいたわるかのような大自然ではなく、<03>硝煙に煙る鋼鉄と強化コンクリートの城塞こそが、<03>俺が欧州に刻――<01>","而不是这种仿佛温柔抚慰着人的大自然；<03>我想在欧洲刻下的，<03>本该是硝烟弥漫的钢铁与强化混凝土城塞――<01>"
"11","pm:static:photonmelodies11.rio.002:1214091360:00204670","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「――む？」<01>","【清十郎】「――嗯？」<01>"
"12","pm:static:photonmelodies11.rio.002:1214091360:00204738","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","――潮の香りがする。<01>","――有股海潮的气息。<01>"
"13","pm:static:photonmelodies11.rio.002:1214091360:00204812","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","立ち込める土と草の香に混ざる潮の香り――それは嗅ぎ慣れたものとは微かに違う…<03>…<03>。<01>","弥漫的泥土与青草气息中，混着一缕海潮味――那与我熟悉的味道，似乎有些不同…<03>…<03>。<01>"
"14","pm:static:photonmelodies11.rio.002:1214091360:00205192","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「うぬぬぬぬ…<03>…<03>いかん！　いかんぞッ！」<01>","【清十郎】「唔唔唔唔…<03>…<03>不行！　这可不行！」<01>"
"15","pm:static:photonmelodies11.rio.002:1214091360:00205362","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","ここはドーバー海峡を臨む基地。
潮が香るのは当然のことだろうに！<01>","这里是俯瞰多佛海峡的基地。
闻到潮味，本就是理所当然的事！<01>"
"16","pm:static:photonmelodies11.rio.002:1214091360:00205640","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","衛士たる者、<03>最初にやるべきことは、<03>己が置かれた状況の把握。<01>","身为卫士，<03>最先该做的，<03>就是掌握自己身处的状况。<01>"
"17","pm:static:photonmelodies11.rio.002:1214091360:00205924","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","己の願望と現実の差などという些事に拘泥し、<03>衛士の本分を見失うなど、<03>真壁家の男子にあるまじき愚行…<03>…<03>。<01>","只因愿望与现实有些落差便耿耿于怀，<03>甚至忘了卫士的本分――这种愚行，<03>绝非真壁家男儿所为…<03>…<03>。<01>"
"18","pm:static:photonmelodies11.rio.002:1214091360:00206464","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","こういうときはまず深呼吸だ。
脳細胞に新鮮な酸素を供給し、<03>思考を明晰化しなければ。<01>","这种时候，先深呼吸。
给脑细胞送点新鲜氧气，<03>让脑子清醒起来。<01>"
"19","pm:static:photonmelodies11.rio.002:1214091360:00206820","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「ス～～～～、<03>ハ～～～～～。
ス～～～～、<03>ハ～～～～～…<03>…<03>」<01>","【清十郎】「吸～～～～、<03>呼～～～～～。
吸～～～～、<03>呼～～～～～…<03>…<03>」<01>"
"20","pm:static:photonmelodies11.rio.002:1214091360:00207000","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","…<03>…<03>よし！<01>","…<03>…<03>好！<01>"
"21","pm:static:photonmelodies11.rio.002:1214091360:00207038","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","さすが、<03>今は亡き長兄・誠一郎直伝の自制術、<03>すっかり気分が切り替わったぞ。
早速、<03>周囲を観察するとしよう。<01>","不愧是，<03>已故长兄诚一郎亲授的自制之术，<03>心情果然彻底调整过来了。
那就立刻，<03>观察四周吧。<01>"
"22","pm:static:photonmelodies11.rio.002:1214091360:00207578","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「…<03>…<03>ふむ」<01>","【清十郎】「…<03>…<03>嗯」<01>"
"23","pm:static:photonmelodies11.rio.002:1214091360:00207650","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","こうしてみると、<03>すべての色彩が日本のそれとは微妙に違うな。
陽光に輝く朝靄に色彩を惑されているのではない。<01>","这样一看，<03>这里所有色彩都与日本微妙地不同。
并不是阳光下闪耀的朝雾让我看错了颜色。<01>"
"24","pm:static:photonmelodies11.rio.002:1214091360:00208094","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","鳥の鳴き声から空気の味と香りまで、<03>五感に響くすべてが似て非なるものだ。
要素が同じだけに微妙な差が際立って感じられる。<01>","从鸟鸣到空气的味道与气息，<03>映入五感的一切都如此相似，却又截然不同。
正因构成它们的要素相同，那些细微差异才显得格外鲜明。<01>"
"25","pm:static:photonmelodies11.rio.002:1214091360:00208598","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「ふるさとは遠きにありて想ふもの…<03>…<03>か」<01>","【清十郎】「故乡，是远在他乡时才会思念的地方…<03>…<03>吗」<01>"
"26","pm:static:photonmelodies11.rio.002:1214091360:00208722","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","なるほど、<03>兄上達が仰っていたのは正にこのことだったのか。
異国に身を置いてこそ祖国日本や己がより鮮明に見えてくる、<03>と。<01>","原来如此，<03>兄长们所说的正是这个意思。
唯有置身异国，祖国日本与自身才会显得更加清晰，<03>是吗。<01>"
"27","pm:static:photonmelodies11.rio.002:1214091360:00209142","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","そうだ。異郷の風景を目の当たりにすることで、<03>俺に刻み込まれた日本の原風景の記憶が強調されているに違いない。<01>","没错。正因为亲眼看到了异乡风景，<03>铭刻在我心中的故国景象才会愈发鲜明。<01>"
"28","pm:static:photonmelodies11.rio.002:1214091360:00209522","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","――この地にあって異質なのはオレ自身なのだ。
否応なく己が日本人であることを思い知らされる。<01>","――在这片土地上，格格不入的正是我自己。
我不得不切身体会到，自己是一个日本人。<01>"
"29","pm:static:photonmelodies11.rio.002:1214091360:00209792","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","そして、<03>その代表としての重責に身が引き締まる想いだ。<01>","同时，<03>作为日本代表所背负的重任，也令我心神一凛。<01>"
"30","pm:static:photonmelodies11.rio.002:1214091360:00210070","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「ふふふ…<03>…<03>そんな事にも気付けないほど、<03>俺の心眼は曇っていたというわけだ」<01>","【清十郎】「呵呵呵…<03>…<03>看来我的心眼，<03>竟蒙尘到连这种事都察觉不到了」<01>"
"31","pm:static:photonmelodies11.rio.002:1214091360:00210340","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","初手にしてこの収穫。
――やるな、<03>欧州よ！<01>","初来乍到便有如此收获。
――欧洲，<03>有两下子！<01>"
"32","pm:static:photonmelodies11.rio.002:1214091360:00210542","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","この１０日間…<03>…<03>２年に及ぶ斯衛軍衛士養成課程の総仕上げに相応しい試練になろうぞ！<01>","这十天…<03>…<03>必将成为我两年斯卫军卫士养成课程的收官试炼！<01>"
"33","pm:static:photonmelodies11.rio.002:1214091360:00210908","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「フッ…<03>…<03>望むところだ！　フフフ…<03>…<03>フハハハハハ！」<01>","【清十郎】「哼…<03>…<03>正合我意！　呵呵呵…<03>…<03>哈哈哈哈哈！」<01>"
"34","pm:static:photonmelodies11.rio.002:1214091360:00211124","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「世界各国の前線に送り出された四十余名の我が同期生達よ！
日本と斯衛の名にかけて、<03>俺は約束するぞ！」<01>","【清十郎】「我那被派往世界各国前线的四十余名同期诸君！
以日本与斯卫之名，<03>我在此立誓！」<01>"
"35","pm:static:photonmelodies11.rio.002:1214091360:00211564","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「この真壁清十郎、<03>西独軍精鋭の騎士道精神とその神髄を見極め、<03>二重八重も成長し再び相まみえんことをなっ！！」<01>","【清十郎】「我真壁清十郎，<03>必将看清西德精锐的骑士道精神及其精髓，<03>待我获得成倍、乃至数倍的成长，再与你们重逢！！」<01>"
"36","pm:static:photonmelodies11.rio.002:1214091360:00212268","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","…<03>…<03>とはいえ、<03>朝靄に包まれた森で確認できる範囲などたかが知れている。<01>","…<03>…<03>话虽如此，<03>在这被朝雾笼罩的森林里，能确认到的范围也十分有限。<01>"
"37","pm:static:photonmelodies11.rio.002:1214091360:00212586","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","視界の制限上、<03>これ以上はピックアップポイントであるこの場を離れなければ不可能だ。<01>","受视野所限，<03>若不离开这处接送地点，便无法再做进一步确认。<01>"
"38","pm:static:photonmelodies11.rio.002:1214091360:00212830","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「体力温存のため仮眠を取るという手もあるが…<03>…<03>」<01>","【清十郎】「为了保存体力，先小睡片刻倒也是个办法…<03>…<03>」<01>"
"39","pm:static:photonmelodies11.rio.002:1214091360:00213042","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","残念だがそのような隙は、<03>この俺にはない。<01>","遗憾的是，<03>我可没有那种空当。<01>"
"40","pm:static:photonmelodies11.rio.002:1214091360:00213190","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","時差ボケ対策に立案した移動中の睡眠計画が完璧だったため、<03>眠気など微塵もないのだ。<01>","为了应对时差而拟定的移动中睡眠计划过于完美，<03>如今我连一丝睡意都没有。<01>"
"41","pm:static:photonmelodies11.rio.002:1214091360:00213454","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「ふむ…<03>…<03>集合指定時間まで、<03>まだ大分あるな」<01>","【清十郎】「嗯…<03>…<03>离指定集合时间，<03>还早得很」<01>"
"42","pm:static:photonmelodies11.rio.002:1214091360:00213692","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","左腕のミルスペック・キャシオは４３分もの余剰時間を示していた。<01>","左腕上的军规卡西欧显示，我还有足足四十三分钟的空余时间。<01>"
"43","pm:static:photonmelodies11.rio.002:1214091360:00213946","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","日本が世界に誇るメーカー・キャシオの腕時計は、<03>元の持ち主である次兄・孝次郞に似て正確無比。
非常に頼りになるところまで同じだ。<01>","这只日本引以为傲的卡西欧腕表，<03>与它原本的主人、次兄孝次郎一样准确无比。
连极其可靠这一点也如出一辙。<01>"
"44","pm:static:photonmelodies11.rio.002:1214091360:00214494","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「さて、<03>どうしたものか…<03>…<03>」<01>","【清十郎】「那么，<03>该如何是好…<03>…<03>」<01>"
"45","pm:static:photonmelodies11.rio.002:1214091360:00214628","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","最悪の選択はここでなにもせず、<03>ただ時間の経過を待つことだ。
早く到着するという得難いメリットを自らドブに棄てるに等しい。<01>","最糟糕的选择，就是待在这里什么也不做，<03>干等着时间过去。
这无异于亲手把提前抵达这一难得的优势扔进臭水沟。<01>"
"46","pm:static:photonmelodies11.rio.002:1214091360:00215088","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","このように、<03>あれこれと思案に耽って徒に時間を消費するのも度し難い愚行――。<01>","像这样，<03>东想西想地白白消耗时间，也同样是不可救药的愚行――。<01>"
"47","pm:static:photonmelodies11.rio.002:1214091360:00215420","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「む…<03>…<03>そうだ！　こういう時には――」<01>","【清十郎】「唔…<03>…<03>对了！　这种时候就该――」<01>"
"48","pm:static:photonmelodies11.rio.002:1214091360:00215598","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","8:――いつ如何なる時、<03>どのような所に在っても有事に備えよ。
これ即ち斯衛心得の初歩なり。<01>","8:――无论何时，<03>无论身处何地，都要时刻准备应对突发情况。
此乃斯卫心得之入门。<01>"
"49","pm:static:photonmelodies11.rio.002:1214091360:00215998","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","旅立ちに際して三兄・任三郎から与った訓告に従い、<03>この場で起こりうる最悪のケースをあれこれ夢想するに限るな。<01>","遵照启程时三兄任三郎赐下的训诫，<03>此刻正该尽情设想一番这里可能发生的最坏情况。<01>"
"50","pm:static:photonmelodies11.rio.002:1214091360:00216328","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「う～ん、<03>最悪か。
そうだな…<03>…<03>」<01>","【清十郎】「唔嗯，<03>最坏情况啊。
这个嘛…<03>…<03>」<01>"
"51","pm:static:photonmelodies11.rio.002:1214091360:00216638","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","…<03>…<03>例えば今、<03>ユーラシアからドーバー海峡を渡って、<03>人類の怨敵・ＢＥＴＡの軍勢が上陸して来たとしたら？<01>","…<03>…<03>比如现在，<03>人类怨敌 BETA 的大军从欧亚大陆越过多佛海峡，<03>登陆而来？<01>"
"52","pm:static:photonmelodies11.rio.002:1214091360:00216918","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","よし！　我ながらかなり良い案配の最悪だ。
もしここにＢＥＴＡが押し寄せたとする…<03>…<03>。<01>","好！　就连我自己也觉得，这个最坏情况相当恰到好处。
假设 BETA 现在涌向这里…<03>…<03>。<01>"
"53","pm:static:photonmelodies11.rio.002:1214091360:00217226","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","そうなればドーバー基地群の全軍が全力即応するだろう。
当然、<03>小型種の襲来に備え、<03>基地内に通じるすべての地上施設が閉鎖される。<01>","如此一来，多佛基地群全军必定会立刻全力应战。
当然，<03>为防小型种来袭，<03>所有通往基地内部的地面设施都会封闭。<01>"
"54","pm:static:photonmelodies11.rio.002:1214091360:00217752","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「――なッ…<03>…<03>何ィ…<03>…<03>！」<01>","【清十郎】「――什…<03>…<03>什么…<03>…<03>！」<01>"
"55","pm:static:photonmelodies11.rio.002:1214091360:00217854","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","そうなれば…<03>…<03>無論、<03>俺はこの場に放置っ！
――然る後、<03>徒手空拳の応戦及び戦術的後退をするも、<03>最終的には小型種の餌食ッ！<01>","那样一来…<03>…<03>不用说，<03>我就会被丢在这里！
――随后，<03>哪怕我徒手空拳应战、实施战术后撤，<03>最终仍会葬身小型种之口！<01>"
"56","pm:static:photonmelodies11.rio.002:1214091360:00218460","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「――バッ…<03>…<03>バカなぁッ！！」<01>","【清十郎】「――不…<03>…<03>不可能！！」<01>"
"57","pm:static:photonmelodies11.rio.002:1214091360:00218582","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","それでは皇帝陛下や将軍閣下、<03>帝国国民に何も貢献できないまま犬死にしてしまうじゃないかッ！<01>","那样岂不是还没能为皇帝陛下和将军阁下，<03>以及帝国国民作出任何贡献，就白白送死了吗！<01>"
