call_order,stable_id,rio_file,scene,source_text_sha256,translated_text
1,pf:static:photonflowers11.rio:14922468:00001205,photonflowers11.rio,crsa:photonflowers11.rio@14922468,3A28833C6C9470680DCD7A7947D3F02FF3C73BB4075B8EA40FF7E8E50943D8A5,编年史～赎罪～
2,pf:static:photonflowers11.rio:488251388:00006534,photonflowers11.rio,crsa:photonflowers11.rio@488251388,AFD26B725279FBAF520BE3C8859EBDE5602E17E7DD4EEC2D985E7E456DC26A24,【麻理茉】「近年来，随着技术革新、新材料的研发，以及主机输出提升与小型化带来的机动性提高，<03>战术机的形态与定位也发生了变化。」<01>
3,pf:static:photonflowers11.rio:488251388:00007226,photonflowers11.rio,crsa:photonflowers11.rio@488251388,0FD4A9DD45B39833067A427397B7C03954783E1C9A6AE366A272E1F40FEC71B4,【麻理茉】「近来，战术机取代武装直升机、承担空中掩护任务的情况越来越多，<03>这也印证了这一点。」<01>
4,pf:static:photonflowers11.rio:488251388:00007560,photonflowers11.rio,crsa:photonflowers11.rio@488251388,39952349C19C3190AA53E83A4A0C30BECE9F720137E39229E623E058C6EB57CD,【麻理茉】「战术机就这样取代了航空器原本的战术定位，<03>但在实战部队开始部署之初，<03>驾驶员的熟练程度成了一个大问题。」<01>
5,pf:static:photonflowers11.rio:488251388:00007942,photonflowers11.rio,crsa:photonflowers11.rio@488251388,50D1A276D7C998F5877A1C7EE783988BB2DA0568DC74945FDF5CB44B9053EB7C,【麻理茉】「另外，<03>战术机驾驶员在日语中被称为『卫士』。<0A>之后我会使用这个日语称谓，注意不要混淆。」<01>
6,pf:static:photonflowers11.rio:488251388:00008454,photonflowers11.rio,crsa:photonflowers11.rio@488251388,FF32A2A263738BC9D6CE2844A897098763B19908C6A2CC1EA6575708865E4D2B,【麻理茉】「起初，<03>空军被迫进行大规模重组，<03>那些险些失业的飞行员便被重新培养成了卫士，可是……<03>……<03>」<01>
7,pf:static:photonflowers11.rio:488251388:00008884,photonflowers11.rio,crsa:photonflowers11.rio@488251388,D0B0086E9AE4FB8ACAE6D1200C8CE63B4117746F93B88695D2740F3A2498444B,【麻理茉】「这是92式战术机管制组件，自94年列装的『不知火』起开始采用，<03>此前的机体也已换装，<03>但它在各个方面都与航空器驾驶舱截然不同。」<01>
8,pf:static:photonflowers11.rio:488251388:00009544,photonflowers11.rio,crsa:photonflowers11.rio@488251388,F629F11D0A5F5B9D05E52E0E6E8CF2BD70FEDC6431E6BA0C41A599923FE8BB80,【麻理茉】「这种在此之前从未存在过、<03>介于坦克与航空器之间的『人型兵器』，<03>无论驾驶、<03>战术、<03>运用还是机动，<03>方方面面都要求转变思路，<03>能跟上这种转变的人少之又少。」<01>
9,pf:static:photonflowers11.rio:488251388:00010170,photonflowers11.rio,crsa:photonflowers11.rio@488251388,A0907DD0AAAD44E0E100D9C92C6A1C22C91524C4A00482B7E541C2E84BA0935E,【麻理茉】「战术机本是对BETA战的王牌，<03>是一种全新概念的兵器；<03>然而无论其诞生有何必然性、秉持怎样的设计开发理念，<03>它终究成了让前线士兵无所适从的兵器。」<01>
10,pf:static:photonflowers11.rio:488251388:00010810,photonflowers11.rio,crsa:photonflowers11.rio@488251388,994B3B93DE6B4F00CE472818454F6DA87E3743094228C2BFA1CD44ABE3444945,【麻理茉】「有人知道在当时，<03>初次上阵的卫士在战场上的平均生存时间有多长吗？」<01>
11,pf:static:photonflowers11.rio:488251388:00011108,photonflowers11.rio,crsa:photonflowers11.rio@488251388,BCE3E291475BB80AC68B4CEEA7502CEAAB37601EC015761E90742AA165FC4E4C,【千鹤、冥夜、壬姬、慧、美琴、武】「……<03>……<03>……<03>……<03>」<01>
12,pf:static:photonflowers11.rio:488251388:00011206,photonflowers11.rio,crsa:photonflowers11.rio@488251388,3C69B51D144A3E851A2A07598266313D23AF32111DB7C26DD24C4064EC434BF3,【麻理茉】「白银，<03>你来说说看。」<01>
13,pf:static:photonflowers11.rio:488251388:00011314,photonflowers11.rio,crsa:photonflowers11.rio@488251388,78A1A50AF8BB5DF5E42874CC21D1544B7546E2F1EC168C7729BEADD787536122,【武】「……<03>……<03>呃……<03>……<03>」<01>
14,pf:static:photonflowers11.rio:488251388:00011402,photonflowers11.rio,crsa:photonflowers11.rio@488251388,0A8C705CEF2CDD822F57930FAB467A1346A3276DF7EA04038E5D6BC14EAD4945,【武】「……<03>……<03>一个小时左右？」<01>
15,pf:static:photonflowers11.rio:488251388:00011502,photonflowers11.rio,crsa:photonflowers11.rio@488251388,6E2D71E1B181BE29DCA14EA308EFC25C93FF298801A261F05EA7FF1A36CF60BB,【麻理茉】「……<03>……<03>……<03>……<03>8分钟。」<01>
16,pf:static:photonflowers11.rio:488251388:00011600,photonflowers11.rio,crsa:photonflowers11.rio@488251388,BCE3E291475BB80AC68B4CEEA7502CEAAB37601EC015761E90742AA165FC4E4C,【千鹤、冥夜、壬姬、慧、美琴、武】「……<03>……<03>……<03>……<03>」<01>
17,pf:static:photonflowers11.rio:488251388:00011698,photonflowers11.rio,crsa:photonflowers11.rio@488251388,2F0623F139C40C53D8F4C07023F4B069803F2FF6F780012033FA2B19B22BF305,【麻理茉】「这一状况震惊了全人类。<0A>人们由此认定，卫士必须从一开始就以卫士为目标进行培养，<03>于是进一步加快了专门教导部队与训练队的建设。」<01>
18,pf:static:photonflowers11.rio:488251388:00012300,photonflowers11.rio,crsa:photonflowers11.rio@488251388,7A60021A35023E9BA92299AD5717FE0A3AEB8BC4E5CCB06C4A0AA304D7CDBDF3,【麻理茉】「其影响甚至波及教育改革，<03>例如各国都修改了义务教育课程。」<01>
19,pf:static:photonflowers11.rio:488251388:00012650,photonflowers11.rio,crsa:photonflowers11.rio@488251388,EC63CD2B1AD4265C9BA213816FF3F612800C8680D2B7514BF155CE12E2ADBF0D,【麻理茉】「正是因为前人付出了巨大的牺牲，<03>你们才能接受如今这套成熟的卫士教育。<0A>绝不要忘记这一点。」<01>
20,pf:static:photonflowers11.rio:488251388:00013140,photonflowers11.rio,crsa:photonflowers11.rio@488251388,D6DB574456F9F0E191AC93DD2D45816E0EEC3625E00350DBAC8CCF970421E927,【千鹤、冥夜、壬姬、慧、美琴】「是！！」<0A>【武】「……<03>……<03>是。」<01>
21,pf:static:photonflowers11.rio:488251388:00013304,photonflowers11.rio,crsa:photonflowers11.rio@488251388,00D6BFDDD51BC5F4B48DEE78F61B4D9909BD6C6A81D72120E44710302DE82353,『8分钟的死亡线』……<03>……<03>。<01>
22,pf:static:photonflowers11.rio:488251388:00013396,photonflowers11.rio,crsa:photonflowers11.rio@488251388,9852249C4DA36D0CB91229001F4284218FF4A279179FA764DF3F5C76196A4C31,向受训兵们讲起这件事，<03>已经是第几次了呢。<01>
23,pf:static:photonflowers11.rio:488251388:00013564,photonflowers11.rio,crsa:photonflowers11.rio@488251388,8D59815E066305219F196D27FA3C733E2F47BE8A8B764FA1AA249967A2C0554D,进入战术机课程的卫士训练兵，<03>在第一堂理论课上便会被告知的残酷数据。<01>
24,pf:static:photonflowers11.rio:488251388:00013896,photonflowers11.rio,crsa:photonflowers11.rio@488251388,529F9098393025A5EDA3B5C4495DD972B580C38704D4556A5299539596AF2D21,……<03>……<03>曾经，<03>我也曾是听这番话的一方。<01>
25,pf:static:photonflowers11.rio:488251388:00013994,photonflowers11.rio,crsa:photonflowers11.rio@488251388,9BAF53E6F3EEA994E4F99BEBEAB611F64AAB776EAF3561DAECAED57987A29ED0,那是在本州有一半被BETA占领之前。<01>
26,pf:static:photonflowers11.rio:488251388:00014262,photonflowers11.rio,crsa:photonflowers11.rio@488251388,FA79CD67FA926952E21C3CB7931A5F3BADB88A845F3CE60061A901D67100154A,在如今已经成为联合国军基地的这个地方，<03>曾经坐落着帝国陆军横滨卫士学校。<0A>我就是在那里知道了『8分钟的死亡线』。<01>
27,pf:static:photonflowers11.rio:488251388:00014608,photonflowers11.rio,crsa:photonflowers11.rio@488251388,7604DE05DE5CBE04249BAC571A9A866A34909ABE2D585B83A12B75C891EDDC06,当时的日本尚未遭受战火，<03>局势远不像今天这般紧迫。成长于这种环境中的我，<03>对理论课上讲述的BETA大战实情毫无真实感。<01>
28,pf:static:photonflowers11.rio:488251388:00015300,photonflowers11.rio,crsa:photonflowers11.rio@488251388,F721507952553D7F85EB248CE8F7C7ACC427396AA673B7A859BE0732A9BC7204,因为课程内容与信息管控之下媒体所报道的大陆战况，<03>相差得实在太远。<01>
29,pf:static:photonflowers11.rio:488251388:00015702,photonflowers11.rio,crsa:photonflowers11.rio@488251388,7D69F90A3E3DDD7DF18E1B7267A911B0AF0D40302C4DBB9F3F0CAAD723B052D5,平均生存时间竟只有短短8分钟，<03>我却自以为那不过是用来逼我们这些训练兵做好心理准备的恫吓。<01>
30,pf:static:photonflowers11.rio:488251388:00016248,photonflowers11.rio,crsa:photonflowers11.rio@488251388,9FA6C7A958CC060EE912A0679980B7066DD5A5800801884DC55645A8A070C04F,我以为，他们不过是搬出了过去的极端数据。<01>
31,pf:static:photonflowers11.rio:488251388:00016470,photonflowers11.rio,crsa:photonflowers11.rio@488251388,4CE3665945A60BA94BE5A1403731A1E21D015248D5D38665F7B82FFDCE3E8ED6,然而，<03>无论这件事是真是假……<03>……<03>如今，<03>我之所以能这样站在卫士训练学校的讲台上，<03>至少是因为我活过了那8分钟。<01>
32,pf:static:photonflowers11.rio:488251388:00017006,photonflowers11.rio,crsa:photonflowers11.rio@488251388,5A131BDF61910314EBAEA24407BD1370E1D9C1E15075C6FBA76C249F681A19EE,不……<03>……<03>说是『活了下来』，<03>并不准确。<01>
33,pf:static:photonflowers11.rio:488251388:00017220,photonflowers11.rio,crsa:photonflowers11.rio@488251388,C953A188FCD342778E2486C3C5F9B7E94012E1C5506FED938B5B63F69AD6D77B,『8分钟的死亡线』——每当我把这件事讲给训练兵们听，<03>都会再次将自己必须肩负的重任铭刻于心。<01>
34,pf:static:photonflowers11.rio:488251388:00017626,photonflowers11.rio,crsa:photonflowers11.rio@488251388,E10A26E97A21F018F4EF2F278FAD7B1E725DBCA61CF8850333290B0EE7917E15,那是我因年轻……<03>……<03>不，<03>因不成熟而背负在身上的罪。<01>
