"jp","cn","occurrences","basis"
"クロニクルズ","编年史","3","用户最终裁定；三个 Chronicles 篇名统一。"
"まりも","麻理茉","217","正式 Alternative 中文姓名。"
"管制ユニット","管制组件","3","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。"
"死の８分","8分钟的死亡线","8","pf-al-r0-v9 confirmed；official exact Alternative pairs alternative:alternative16.rio:1139340580:14925:66; alternative:alternative16.rio:1139340580:46988:218"
"教官殿","教官","76","pf-al-self-adjudication-v1 关系阶段裁决；训练应答的敬意由军令句式表达，不机械补“殿／阁下”。"
"異星起源種","异星起源物种","1","pf-al-r0-v2 confirmed；official exact Alternative JP/CN pair alternative:alternative16.rio:1151153770:90883:255"
"新井","新井","301","pf-al-self-adjudication-v1 项目编辑定名；字形在简繁中不变；读法未获官方证据，但不阻塞中文显示。"
"ＰＸ","ＰＸ","2","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。"
"総合戦闘技術評価演習","综合战斗技术评价演习","1","pf-al-r0-v4 confirmed；official exact Muv-Luv/Alternative pairs muvluv:muvluv16_chn.rio:537991298:76739:613; alternative:alternative16.rio:1131383402:105022:278; alternative:alternative16.rio:1432733660:8683:28"
"回収ポイント","回收点","3","pf-al-r0-v4 confirmed；official exact Alternative pairs alternative:alternative16.rio:1132906480:1353:2; alternative:alternative16.rio:1132906480:4102:7; alternative:alternative16.rio:1432733660:8001:25"
"総戦技","综战技","10","pf-al-r0-v5 confirmed；official exact Alternative usage alternative:alternative16.rio:1134118512:127871:343; alternative:alternative16.rio:1142377674:38655:149"
"陽動","佯动","9","pf-al-r0-v6 confirmed；official exact Alternative pairs alternative:alternative16.rio:1143184112:7011:22; alternative:alternative16.rio:1143184112:7199:23; alternative:alternative16.rio:1146277752:71155:62"
"レーション","口粮","6","pf-al-r0-v7 confirmed；official exact Muv-Luv pairs muvluv:muvluv16_chn.rio:1765816088:4774:38 (军用口粮); muvluv:muvluv16_chn.rio:1765816088:5327:46 (口粮); muvluv:muvluv16_chn.rio:1797857680:3280:25 (军用口粮)"
"総戦技評価演習","综战技评价演习","3","pf-al-r0-v5 confirmed；official exact Alternative usage alternative:alternative16.rio:1134118512:127871:343; alternative:alternative16.rio:1142377674:137394:599"
"総戦技演習","综战技演习","1","pf-al-r0-v5 confirmed；official exact Alternative usage alternative:alternative16.rio:1132177038:82443:233; alternative:alternative16.rio:1138618846:113337:330"
"間接思考制御","间接思考控制","2","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。"
"ＣＰ","ＣＰ","10","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。"
"中隊長","中队长","3","pf-al-r0-v9 confirmed；official exact Alternative pairs alternative:alternative16.rio:1139340580:18344:81; alternative:alternative16.rio:1139340580:18563:82"
"小隊長","小队长","1","pf-al-r0-v9 confirmed；official exact Alternative pairs including alternative:alternative16.rio:1133905442:15820:45 and repeated Alternative command scenes"
"教導隊","教导队","2","pf-al-r0-v9 confirmed；official exact Alternative pairs alternative:alternative16.rio:1136615564:67589:139; alternative:alternative16.rio:1136874440:22124:44; alternative:alternative16.rio:1139340580:20070:89"
"部隊長","部队长","4","pf-al-r0-v9 confirmed；multiple official exact Alternative pairs for 伊隅/速瀬 command appointments"
"全機兵器使用自由","全机兵器使用限制解除","1","pf-al-r0-v10 confirmed；official exact Alternative pair alternative:alternative16.rio:1136301392:97552:180; corroborating 兵器使用自由 pairs in Alternative and Muv-Luv"
"楔参型隊形","楔叁型阵型","1","pf-al-r0-v10 confirmed；official exact Alternative pair alternative:alternative16.rio:1136301392:79095:157"
"コード９９１","代号991","3","pf-al-r0-v10 confirmed；official exact Alternative pairs alternative:alternative16.rio:1146975552:160688:425; alternative:alternative16.rio:1149721454:68528:278"
"レーザー級","激光级","2","pf-al-r0-v11 confirmed；official Alternative class mapping 光線級→激光级 repeated across alternative16.rio, including alternative:alternative16.rio:1138971900:14450:59; local レーザー級 is the same class in colloquial battle callout"
"重レーザー級","重激光级","1","pf-al-r0-v11 confirmed；official Alternative class mapping 重光線級→重激光级, including alternative:alternative16.rio:1143184112:38380:207; local 重レーザー級 is the same large laser-class BETA"
"レーザー発振器官","震荡激光发射器官","1","pf-al-r0-v11 confirmed；official exact Alternative pairs alternative:alternative16.rio:1143184112:38494:208 and alternative:alternative16.rio:1143184112:42095:238"
"レイン・ダンサーズ","雨舞者","1","用户最终裁定；篇名。"
"着陸ユニット","登陆舱","1","pf-al-r0-v13 confirmed；repeated official Alternative exact pairs alternative:alternative16.rio:1143184112:9389:36; alternative:alternative16.rio:1143184112:9768:37; alternative:alternative16.rio:1143184112:11082:50"
"オリジナルハイヴ","母巢","2","pf-al-r0-v13 confirmed；repeated official Alternative exact pairs beginning alternative:alternative16.rio:1133593648:22364:60 and throughout Alternative final operations"
"ハイヴ","巢穴","23","pf-al-r0-v15 confirmed；repeated official Alternative exact pairs throughout alternative16.rio, including alternative:alternative16.rio:1143184112:15951:81 and alternative:alternative16.rio:1143184112:16528:84"
"パレオロゴス作戦","巴列奥略作战","1","pf-al-r0-v13 confirmed；official exact Alternative pair alternative:alternative16.rio:1143670360:55760:250"
"地下茎構造","地下茎构造","1","pf-al-r0-v13 confirmed；repeated official Alternative exact pairs including alternative:alternative16.rio:1143184112:16013:82 and alternative:alternative16.rio:1143670360:56392:255"
"レインダンス中隊","雨舞中队","5","用户最终裁定；部队名。"
"強化装備","强化装备","8","pf-al-r0-v14 confirmed；repeated official Alternative exact pairs across alternative16.rio, including alternative:alternative16.rio:1133092660:14296:28; alternative:alternative16.rio:1133593648:109126:337; alternative:alternative16.rio:1136301392:22462:27"
"ＥＦ－２０００","ＥＦ－2000","6","pf-al-r0-v15 confirmed；official exact Alternative pair alternative:alternative16.rio:1143670360:9792:34"
"突撃前衛","突击前卫","3","pf-al-r0-v15 confirmed；repeated official Alternative exact pairs, including alternative:alternative16.rio:1143184112:37273:202 and alternative:alternative16.rio:1143670360:71871:291"
"雨乞い中隊","乞雨中队","1","用户最终裁定；篇内释义性别称。"
"ナディア","娜迪亚","21","pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。"
"パブロ","巴勃罗","12","pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。"
"姉御","大姐","2","pf-al-self-adjudication-v1 人物语气裁决；保留带江湖气的尊称，不直译为普通姐姐。"
"グレアム","格雷厄姆","10","pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。"
"分隊","分队","99","pf-al-r0-v1 confirmed；official mainline usage and stable military register"
"レインダンスＡ","雨舞A","1","沿用用户确认的雨舞呼号规则。"
"光線級","激光级","4","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v1/v11/v16；不保留第一遍“再入壳／光线级”。"
"フランコ","弗兰科","6","pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。"
"レイチェル","蕾切尔","4","pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。"
