call_order,id,egpack,scene,speaker_jp,source_text_sha256,record_kind,cn_text
1,game_t00000,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,CB96CD9EDCDA9517C398A8757D3507E9C69FD1198C565911096EFAC90D49FCAB,text,「我……」\p
2,game_t00001,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,819C009994671BA707AEBF6024C85AE2F0F5F511716EBF89F59161E6BEE0738E,text,「我……又一次……」\p
3,game_t00002,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,A4D4264BC2E0F0A3AAFA9E3647314FBFA9A6DD1E5B9C7DFB1D5244E2F53658F0,text,「没能保护好她们……」\p
4,game_t00003,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,B8A9974C0A02A2B3E30920F8554A96107069D1D26886C92C3F41AFC118614823,text,「和泉……」\p
5,game_t00004,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,E36DF75474E4DEB0906D76B7BBA2AAD209D4E7B7A3C23DC318BDB9F15B22A7C7,text,「安艺……」\p
6,game_t00005,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,A592D2DD630889BA09BBD9684B9B433DE8610BC74BB119412A53CEE7D0094347,text,「志摩子……」\p
7,game_t00006,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,6670AC26213D48DD1E7387ACC8E01BB0AA931598E1A30C3E01D33EAA480049E8,text,「……山城……同学」\p
8,game_t00007,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,6440819DE1ABB87428EE418E66FBDD89CAC4A6E3D7FE263CCF4C66841D1AC7E1,text,「对不起……」\p
9,game_t00008,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim,唯依,F18AC012EEC75A8A230185FB1642ED315D4A2D6A806AB7E4A38125A12B0A76FB,text,「看来短时间内……我还是没办法叫出你的名字。」\p
10,game_t00009,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,CB96CD9EDCDA9517C398A8757D3507E9C69FD1198C565911096EFAC90D49FCAB,text,「我……」\p
11,game_t00010,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,819C009994671BA707AEBF6024C85AE2F0F5F511716EBF89F59161E6BEE0738E,text,「我……又一次……」\p
12,game_t00011,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,A4D4264BC2E0F0A3AAFA9E3647314FBFA9A6DD1E5B9C7DFB1D5244E2F53658F0,text,「没能保护好她们……」\p
13,game_t00012,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,B8A9974C0A02A2B3E30920F8554A96107069D1D26886C92C3F41AFC118614823,text,「和泉……」\p
14,game_t00013,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,E36DF75474E4DEB0906D76B7BBA2AAD209D4E7B7A3C23DC318BDB9F15B22A7C7,text,「安艺……」\p
15,game_t00014,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,A592D2DD630889BA09BBD9684B9B433DE8610BC74BB119412A53CEE7D0094347,text,「志摩子……」\p
16,game_t00015,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,6670AC26213D48DD1E7387ACC8E01BB0AA931598E1A30C3E01D33EAA480049E8,text,「……山城……同学」\p
17,game_t00016,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,6440819DE1ABB87428EE418E66FBDD89CAC4A6E3D7FE263CCF4C66841D1AC7E1,text,「对不起……」\p
18,game_t00017,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　 _dim_dummy,唯依,F18AC012EEC75A8A230185FB1642ED315D4A2D6A806AB7E4A38125A12B0A76FB,text,「看来短时间内……我还是没办法叫出你的名字。」\p
19,game_t00018,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,CB96CD9EDCDA9517C398A8757D3507E9C69FD1198C565911096EFAC90D49FCAB,text,「我……」\p
20,game_t00019,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,819C009994671BA707AEBF6024C85AE2F0F5F511716EBF89F59161E6BEE0738E,text,「我……又一次……」\p
21,game_t00020,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,A4D4264BC2E0F0A3AAFA9E3647314FBFA9A6DD1E5B9C7DFB1D5244E2F53658F0,text,「没能保护好她们……」\p
22,game_t00021,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,B8A9974C0A02A2B3E30920F8554A96107069D1D26886C92C3F41AFC118614823,text,「和泉……」\p
23,game_t00022,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,E36DF75474E4DEB0906D76B7BBA2AAD209D4E7B7A3C23DC318BDB9F15B22A7C7,text,「安艺……」\p
24,game_t00023,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,A592D2DD630889BA09BBD9684B9B433DE8610BC74BB119412A53CEE7D0094347,text,「志摩子……」\p
25,game_t00024,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,6670AC26213D48DD1E7387ACC8E01BB0AA931598E1A30C3E01D33EAA480049E8,text,「……山城……同学」\p
26,game_t00025,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,6440819DE1ABB87428EE418E66FBDD89CAC4A6E3D7FE263CCF4C66841D1AC7E1,text,「对不起……」\p
27,game_t00026,０１０：２００１年_01：ユーコン事件直後の唯依　.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　,唯依,F18AC012EEC75A8A230185FB1642ED315D4A2D6A806AB7E4A38125A12B0A76FB,text,「看来短时间内……我还是没办法叫出你的名字。」\p
28,game_t00027,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,CB96CD9EDCDA9517C398A8757D3507E9C69FD1198C565911096EFAC90D49FCAB,text,「我……」\p
29,game_t00028,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,819C009994671BA707AEBF6024C85AE2F0F5F511716EBF89F59161E6BEE0738E,text,「我……又一次……」\p
30,game_t00029,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,A4D4264BC2E0F0A3AAFA9E3647314FBFA9A6DD1E5B9C7DFB1D5244E2F53658F0,text,「没能保护好她们……」\p
31,game_t00030,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,B8A9974C0A02A2B3E30920F8554A96107069D1D26886C92C3F41AFC118614823,text,「和泉……」\p
32,game_t00031,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,E36DF75474E4DEB0906D76B7BBA2AAD209D4E7B7A3C23DC318BDB9F15B22A7C7,text,「安艺……」\p
33,game_t00032,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,A592D2DD630889BA09BBD9684B9B433DE8610BC74BB119412A53CEE7D0094347,text,「志摩子……」\p
34,game_t00033,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,6670AC26213D48DD1E7387ACC8E01BB0AA931598E1A30C3E01D33EAA480049E8,text,「……山城……同学」\p
35,game_t00034,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,6440819DE1ABB87428EE418E66FBDD89CAC4A6E3D7FE263CCF4C66841D1AC7E1,text,「对不起……」\p
36,game_t00035,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）.egpack,０１０：２００１年_01：ユーコン事件直後の唯依　（原作退避）,唯依,F18AC012EEC75A8A230185FB1642ED315D4A2D6A806AB7E4A38125A12B0A76FB,text,「看来短时间内……我还是没办法叫出你的名字。」\p
37,game_t00036,０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack,０２０：１９９７年_04：登校　背景状況説明　４月１４日,唯依,C7E741774BF02B36A51691900B2932553139CE5B5C5847C3CFDC58C0AABE8F74,text,「啊……」\p
38,game_t00037,０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack,０２０：１９９７年_04：登校　背景状況説明　４月１４日,唯依,59F4EB9E2D1D46096C713E6E74FADCE177B4DE94260A8BEA3C5F874FAB3A0617,text,「…\w…\w」\p
39,game_t00038,０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack,０２０：１９９７年_04：登校　背景状況説明　４月１４日,唯依,4A33F61EE2973A5BB8BF0851340372481AC11F632035CBC844B9B64E623CD7F4,text,「简直就像……什么都没发生过一样……」\p
40,game_t00039,０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack,０２０：１９９７年_04：登校　背景状況説明　４月１４日,旁白,5A0EFAD12AD4FD81FB32A687AF11182929535A7950784EE221C061781E950C32,text,这座延续了一千数百年的古都。我喜欢我的故乡京都。\p
41,game_t00040,０２０：１９９７年_04：登校　背景状況説明　４月１４日.egpack,０２０：１９９７年_04：登校　背景状況説明　４月１４日,旁白,A048DD41A931F5D4E4367BF0FF1571DA75B2CA0ED451965F6959352D5D51E785,text,古老之物、新生之物，以及日本人创造的一切——这座日本的首都始终接纳并孕育着它们。\p
