binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:258770628:00002020:00001,cvm,【武】「呜哇～～～！！好厉害——！！」<01>,[],layout_only,5b913d06f5e4a462fe223bb656ff2bd6b7dde486d792aa8c0c15f3613787a707,ce25413bb2eec644f3f3c57402db05d3b71c9ef68c6238f175ba702840278623
pm:vm:photonmelodies11.rio.004:258770628:00002296:00002,cvm,【美琴】「呜、海味与山珍正在激烈交锋！！」<01>,[],layout_only,7c8f47ebf62c85b7353991edaa93af63f5588be6f166e7a58711c12463b35156,4cc0ea486fd8101cd96a199aa0637e210236a93dc6a37fc74e2808fa95867d65
pm:vm:photonmelodies11.rio.004:258770628:00002520:00003,cvm,【冥夜】「嚯嚯………这可真不赖………」<01>,[],layout_only,5710fd97f862129910ee0a756391ca4bdb77204a875d59fccb3227c9b694c95b,483d5e716c5bf10544d4e0e7dbfe2884fb7eb0f700b2edc90cd3e3aeaea179e5
pm:vm:photonmelodies11.rio.004:258770628:00002576:00004,cvm,【纯夏】「好厉害，好厉害！！」<01>,[],layout_only,ae5bec998a94e0c6ac749a9b28ccdcde36a01e05963620125c7c8bb80feb46c7,610ecb6f8853a0806e125bc72ef280048688cce62babc738763fb6043949b5a0
pm:vm:photonmelodies11.rio.004:258770628:00003088:00005,cvm,【夕呼】「你们以为我会满足于哄小孩的饭菜吗？<0A>当然让他们备下的全是最高级料理」<01>,[],layout_only,c8c6b3faeb03bd48444d80425cb52fa531299279c9f6bc0d464001d65e1d5fd6,2a45e8cc56096bba3172af816d6f9e5bd9aac67e5974ae7542b1145a8093e29a
pm:vm:photonmelodies11.rio.004:258770628:00003132:00006,cvm,【武】「果然不愧是你，说什么‘该花的时候<0A>不痛痛快快地花，人生就会变得寒酸………’！！」<01>,[],layout_only,a013daf5aaf65c4d1a8c5006c06002701f631414a8f1c8bcdc75adbe90b5b529,020c5f0039b7fc4e8334c9b25b4a31895d0b0d3d066b5b24e5f95604616ff32b
pm:vm:photonmelodies11.rio.004:258770628:00003364:00007,cvm,【夕呼】「哼哼………好了，你们几个，做好心理准备了吗？<0A>既然已经迎来这个时刻，<0A>就再也无法逃………」<01>,[],layout_only,ca9ecab0099d6aeb7aa6462e0a5cb000a6ca9887c5fcbcd7f62444231bf37a98,2b7cfb5325e02a8277bf46bf97ce89097962472ac92f8ab95aac021b97f42834
pm:vm:photonmelodies11.rio.004:258770628:00003480:00008,cvm,【壬姬】「来啦——！」<01>,[],layout_only,e3631ea466001ce8535ece8f79c50c7c93c4786a704063476ca87ed44bbece12,665dd9b1cd8f7770380e10265710c24c30bb6beea4745678c2fca986374fb074
pm:vm:photonmelodies11.rio.004:258770628:00003712:00009,cvm,【夕呼】「………谁啊——」<01>,[],layout_only,f5bf08d8ab535a95cf73a517d1044207908b01bc4df073c99e1bd658ef166d24,2f9be774181865f1223291d3877211e203f8970f47ed37593c26ef009aebe476
pm:vm:photonmelodies11.rio.004:258770628:00004504:00010,cvm,【月咏】「打扰了」<01>,[],layout_only,26ad65922aa0b7191ba4fde4af0b43b42400c18036d2d04c55d40ee970c9b28f,9651b3f300c654ac68f407feb9086c2576008c0f3fc4ae238f0de3f335fa1ae0
pm:vm:photonmelodies11.rio.004:258770628:00005972:00011,cvm,【神代、巴、戎】「打扰了～～！！」<01>,[],layout_only,322118b81d334b9e34de0d767cc8960ef6684d93295dc89dfcba5c482d890295,578e5d3a6e1512a781ad95c261e8755ec583f8ae7fea4cde5e215f852f159844
pm:vm:photonmelodies11.rio.004:258770628:00006028:00012,cvm,【纯夏】「月咏小姐………有什么事吗？」<01>,[],layout_only,0e9f2ba05f759ef8222f8f31a6da4f973988f61b2b6f39834fbca711c4c25e33,6893f66a598e5775764ce17aa717e93c9d0df446bb811f21d0769abb6043bd7f
pm:vm:photonmelodies11.rio.004:258770628:00006740:00013,cvm,【月咏】「是，若各位对餐点或饮品有什么要求，<0A>我本想特来询问………」<01>,[],layout_only,ddaef9b92d9acf772bd54e1a720673854f029b112355facffed929e9a2adbf5a,750783ef53c85932501b1d85860d736819ddb420285c8de82a04defef0754b1f
pm:vm:photonmelodies11.rio.004:258770628:00007124:00014,cvm,【月咏】「看来来得稍早了一些………是我失礼了」<01>,[],layout_only,256744822db4de463f9cd8f2df3f33253adcb5ddcad13baef8df0ccf649faed9,84f4fa6f18e403cca0f1a544d0fd036f3c92b91bd57e542992ea9d463155e734
pm:vm:photonmelodies11.rio.004:258770628:00007168:00015,cvm,【武】「要求？为什么是月咏小姐来问………」<01>,[],layout_only,bc6a3c40cf6d04896ccf90340c44de81d089166691eedb7f2cbfc967cc12b963,7f474387e00ba07118a802c5db21181a0693bbdc3f3f093382ae48e2e434e391
pm:vm:photonmelodies11.rio.004:258770628:00007212:00016,cvm,饮品姑且不论，餐点的要求又是怎么回事………。<01>,[],layout_only,6e8da507a1fc7c5bf8b0a24e09be0ecb984bde2f5eca4a4d3c52839a8758b888,3c0e9bc2b62c8caf0d41b74a9ff31b13efef648b5cc3a279543b2bb0d31e07ce
pm:vm:photonmelodies11.rio.004:258770628:00007688:00017,cvm,【月咏】「悠阳大人、冥夜小姐入口的东西，绝不能有半点闪失。<0A>今天这家旅馆的所有膳食，均由我们这边准备」<01>,[],layout_only,948635695e7bc7c98c05061336d4c3b9f8cdcafe7a1d25f34b866d08fb6c1cd1,f111f4649bec05dfff6a60434a16977420a11250745d9679868ee92b8800025c
pm:vm:photonmelodies11.rio.004:258770628:00008200:00018,cvm,【夕呼】「哈？」<01>,[],layout_only,8d2a7f3691ca5bc61c5d01d543bc7156ce916dc839bd272d2518c7b40c5989c5,3184793e78fab79a30d7bf77a676736525a95bd3740e5580c443d00389618054
pm:vm:photonmelodies11.rio.004:258770628:00008580:00019,cvm,【千鹤】「所以菜色才会如此豪华吗？」<01>,[],layout_only,e73b200aa5a270171b5f80f4e7d536107129f90b0bf391e54d1f1a5be0435583,ed139017095e9e5b0c4372274305012ba42987cd212fcbcf6e96a861c4613954
pm:vm:photonmelodies11.rio.004:258770628:00008636:00020,cvm,【慧】「……………螃蟹」<01>,[],layout_only,6e5dba9d597b7b4d118f17c090c3f8f8c6fc9c130f9741e5ccf97752886ef862,8815b7fdee607bc98b2b0cc54f55d71661be8e4bd18c85ced8e971cbdbdc41b3
pm:vm:photonmelodies11.rio.004:258770628:00009148:00021,cvm,【月咏】「这道菜，是因为今天，<0A>三国港捕获了优质越前蟹，我们便将其空运至此」<01>,[],layout_only,63ec929a81b2dbde750403a1fb0daca336faf1349486fdea3f796adff9f852ed,86e359dbb0cd01d0df7ee14e1924c72c13b604daedd8306c2df6f44b8a5cafa2
pm:vm:photonmelodies11.rio.004:258770628:00009204:00022,cvm,【慧】「……………河豚」<01>,[],layout_only,3379f08cf1cf1c050de8ef91e30c58f7d137073363391e7cff615bcef98248e5,65f7fcca3e2cb294ae0f820e7294dcb3237b4d92abac1b5f4f071f5cf1443d02
pm:vm:photonmelodies11.rio.004:258770628:00009436:00023,cvm,【月咏】「这道菜也是因为下关今天<0A>捕到了上好的虎河豚，所以一并备下了」<01>,[],layout_only,f2b74efdb032d839c8b659b0b6f284237b327c34df3ec29171137bb2d5fc5fe5,f1fdbe461f14ffbe96b10012c53af281c1a4a3d71fd56893f98565935c3b8bb5
