jp,cn,context
インド,印度,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
イーグル,鹰,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ,战犬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグス,战犬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ小隊,战犬小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ隊,战犬队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン,艾伦,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン・エイス,艾伦·艾斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン・エイス少尉,艾伦·艾斯少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン少尉,艾伦少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オーストラリア,澳大利亚,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
カロネード,卡洛内德,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
カロネード隊,卡洛内德队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
クレイン,鹤,120_承_2005_10_19 デモ隊との交渉01 / 130_転_BETA大規模再襲撃02 / 130_転_BETA大規模再襲撃03；旧 TDA 交接记录已确认；仅在本作命中范围使用。；来源 tda-shared-decisions:6。仅作语境审校参考，不自动替换。
シアトル,西雅图,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ソ連,苏联,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
タコマ,塔科马,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
デモ隊,示威队伍,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ドレイク,德雷克,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ドレイク・カロネード,德雷克、卡洛内德,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ハワイ,夏威夷,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ハンター,猎人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バビロン,巴比伦,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バビロン作戦,巴比伦作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ヒル中尉,希尔中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フォートルイス,刘易斯堡,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フォートルイス基地,刘易斯堡基地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フランス軍,法军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブルーオーシャン,蓝海,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ボクサー,拳师号,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ボーニング社,波音公司,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ユーラシア,欧亚大陆,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
一郎,一郎,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂,千堂,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂少尉,千堂少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂柚香,千堂柚香,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂柚香少尉,千堂柚香少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
古手川先生,古手川老师,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
合衆国,合众国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
和美,和美,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大和,大和,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大尉,上尉,110_承_2005_10_18 市街地警護任務1・空振り01；旧 TDA 交接记录已确认；仅在本作命中范围使用。；来源 tda-shared-decisions:13。仅作语境审校参考，不自动替换。
太平洋,太平洋,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
寺本,寺本,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国軍兵士,帝国军士兵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国連合艦隊,帝国联合舰队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
強襲揚陸艦ボクサー,强袭登陆舰拳师号,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機小隊,战术机小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機母艦,战术机母舰,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機部隊,战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
整備兵,整备兵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
日本帝国欧州派遣軍,日本帝国欧洲派遣军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
松風,松风,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
松風諒一,松风谅一,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
松風諒一中尉,松风谅一中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
柚香,柚香,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
楠本,楠本,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
楠本さやか,楠本沙也加,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
機分隊,机分队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
浅葱,浅葱,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海軍戦術機部隊,海军战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
煌武院 悠陽,煌武院悠阳,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
神宮司,神宫司,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
神宮司まりも,神宫司麻理茉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国,美国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国人,美国人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国海軍戦術機母艦,美国海军战术机母舰,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国陸軍第１軍団第６６戦術機甲大隊,美国陆军第1军团第66战术机甲大队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国陸軍第６６戦術機甲大隊,美国陆军第66战术机甲大队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米軍,美军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米軍衛士,美军卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
美桜乃少尉,美樱乃少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
美桜乃雫,美樱乃雫,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
美桜乃雫少尉,美樱乃雫少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
軌道降下兵,轨道降下兵,本作采用轨道降下兵；旧表轨道潜水员错误，不自动改正文中的其他译法
軍警隊長,军警队长,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
部隊葬,部队葬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
雫,雫,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
響,响,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
騎兵隊,骑兵队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
龍浪,龙浪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
龍浪中尉,龙浪中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
龍浪響,龙浪响,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
龍浪響中尉,龙浪响中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
