jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
おしぼりの君,湿巾小姐,contextual,本作；详见使用限制,selected-photonmelodies,2,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
おばちゃん１,大婶1,contextual,本作；详见使用限制,selected-photonmelodies,3,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
おばちゃん２,大婶2,contextual,本作；详见使用限制,selected-photonmelodies,4,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
おばちゃん３,大婶3,contextual,本作；详见使用限制,selected-photonmelodies,5,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
まりも,麻理茉,contextual,本作；详见使用限制,selected-photonmelodies,6,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
みちる,美知留,contextual,本作；详见使用限制,selected-photonmelodies,7,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
みちる・水月,美知留、水月,contextual,本作；详见使用限制,selected-photonmelodies,8,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アイヒベルガー少佐,艾希贝尔格少校,contextual,本作；详见使用限制,selected-photonmelodies,9,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アナウンス,广播,contextual,本作；详见使用限制,selected-photonmelodies,10,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
アルフレッド・ウォーケン,阿尔弗雷德·沃肯,contextual,本作；详见使用限制,selected-photonmelodies,11,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
イルフリーデ,伊尔芙莉德,contextual,本作；详见使用限制,selected-photonmelodies,12,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
イルフリーデ・フォン・フォイルナー,伊尔芙莉德·冯·福伊尔纳,contextual,本作；详见使用限制,selected-photonmelodies,13,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
イルマ,伊尔玛,contextual,本作；详见使用限制,selected-photonmelodies,14,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
イルマ・テスレフ,伊尔玛·特斯列夫,contextual,本作；详见使用限制,selected-photonmelodies,15,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
イルマ・ピアティフ,伊尔玛、皮亚蒂芙,contextual,本作；详见使用限制,selected-photonmelodies,16,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
イルマ・ピアティフ・ウォーケン,伊尔玛、皮亚蒂芙、沃肯,contextual,本作；详见使用限制,selected-photonmelodies,17,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
インド,印度,contextual,本作；详见使用限制,selected-photonmelodies,18,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォーケン,沃肯,contextual,本作；详见使用限制,selected-photonmelodies,19,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
エニグマ,恩尼格玛,contextual,本作；详见使用限制,selected-photonmelodies,20,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オベロン,奥伯龙,contextual,本作；详见使用限制,selected-photonmelodies,21,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オペレーターＡ,操作员A,contextual,本作；详见使用限制,selected-photonmelodies,22,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
オペレーターＢ,操作员B,contextual,本作；详见使用限制,selected-photonmelodies,23,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
オペレーターＣ,操作员C,contextual,本作；详见使用限制,selected-photonmelodies,24,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
オーストラリア,澳大利亚,contextual,本作；详见使用限制,selected-photonmelodies,25,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
コマンドポスト,指挥所,contextual,本作；详见使用限制,selected-photonmelodies,26,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ゴールドメン局長,戈德曼局长,contextual,本作；详见使用限制,selected-photonmelodies,27,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ザウバー,扎乌伯,contextual,本作；详见使用限制,selected-photonmelodies,28,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
シェリル,谢丽尔,contextual,本作；详见使用限制,selected-photonmelodies,29,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
シルヴィオ,西尔维奥,contextual,本作；详见使用限制,selected-photonmelodies,30,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
シルヴィオ・オルランディ,西尔维奥·奥兰迪,contextual,本作；详见使用限制,selected-photonmelodies,31,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
シルヴィオ・宗像中尉,西尔维奥、宗像中尉,contextual,本作；详见使用限制,selected-photonmelodies,32,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
セプテントリオン,塞普滕特里翁,contextual,本作；详见使用限制,selected-photonmelodies,33,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ソ連,苏联,contextual,本作；详见使用限制,selected-photonmelodies,34,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
チキン・ダイバーズ,小鸡潜降兵,contextual,本作；详见使用限制,selected-photonmelodies,35,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ツェルベルス,刻耳柏洛斯,contextual,本作；详见使用限制,selected-photonmelodies,36,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ツェルベルス大隊全員,刻耳柏洛斯大队全员,contextual,本作；详见使用限制,selected-photonmelodies,37,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ツェルベルス大隊隊員,刻耳柏洛斯大队队员,contextual,本作；详见使用限制,selected-photonmelodies,38,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ツェルベルス部隊全員,刻耳柏洛斯部队全员,contextual,本作；详见使用限制,selected-photonmelodies,39,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
テュフォーン副艦長,提丰副舰长,contextual,本作；详见使用限制,selected-photonmelodies,40,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
テュフォーン艦長,提丰舰长,contextual,本作；详见使用限制,selected-photonmelodies,41,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
