jp,cn,context
おかっちませ,祝君得胜,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:54。仅作语境审校参考，不自动替换。
かしこわ,谨遵号令,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:82。仅作语境审校参考，不自动替换。
ウルフ,群狼,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:109。仅作语境审校参考，不自动替换。
エリア,区域,全篇；主库术语表；来源 imperial-old:130。仅作语境审校参考，不自动替换。
オーストラリア,澳大利亚,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:131。仅作语境审校参考，不自动替换。
カメラ,摄像机,全篇；主库术语表；来源 imperial-old:132。仅作语境审校参考，不自动替换。
カメラマン,摄影师,全篇；主库术语表；来源 imperial-old:133。仅作语境审校参考，不自动替换。
クソ,该死,全篇；主库术语表；来源 imperial-old:62。仅作语境审校参考，不自动替换。
コスト,成本,全篇；主库术语表；来源 imperial-old:94。仅作语境审校参考，不自动替换。
コントロール,管制,全篇；主库术语表；来源 imperial-old:95。仅作语境审校参考，不自动替换。
ジェット,喷气,全篇；主库术语表；来源 imperial-old:110。仅作语境审校参考，不自动替换。
スパイク,锚钉,全篇；主库术语表；来源 imperial-old:134。仅作语境审校参考，不自动替换。
センサー,传感器,全篇；主库术语表；来源 imperial-old:83。仅作语境审校参考，不自动替换。
ソ連,苏联,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:96。仅作语境审校参考，不自动替换。
タイプ,类型,全篇；主库术语表；来源 imperial-old:97。仅作语境审校参考，不自动替换。
ダイエット,减肥,全篇；主库术语表；来源 imperial-old:135。仅作语境审校参考，不自动替换。
ツ―１１号砲弾,TSU-11号炮弹,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:186。仅作语境审校参考，不自动替换。
データリンク,数据链,全篇；主库术语表；来源 imperial-old:19。仅作语境审校参考，不自动替换。
ハイドラ,九头蛇,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:98。仅作语境审校参考，不自动替换。
バッテリー,电池,全篇；主库术语表；来源 imperial-old:65。仅作语境审校参考，不自动替换。
ファング,獠牙,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:11。仅作语境审校参考，不自动替换。
フォックス１,开火/发射,全篇；本章审定；来源 imperial-old:71。仅作语境审校参考，不自动替换。
ブリーフィング,简报,全篇；主库术语表；来源 imperial-old:84。仅作语境审校参考，不自动替换。
ブロック,区块,全篇；主库术语表；来源 imperial-old:59。仅作语境审校参考，不自动替换。
プログラム,程序,全篇；主库术语表；来源 imperial-old:136。仅作语境审校参考，不自动替换。
ポッチー,百奇,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:184。仅作语境审校参考，不自动替换。
メートル,米,全篇；主库术语表；来源 imperial-old:85。仅作语境审校参考，不自动替换。
ユニット,单元,全篇；主库术语表；来源 imperial-old:32。仅作语境审校参考，不自动替换。
ユーラシア,欧亚大陆,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:55。仅作语境审校参考，不自动替换。
リスク,风险,全篇；主库术语表；来源 imperial-old:34。仅作语境审校参考，不自动替换。
リスト,名单,全篇；主库术语表；来源 imperial-old:137。仅作语境审校参考，不自动替换。
リンク,链路,全篇；主库术语表；来源 imperial-old:17。仅作语境审校参考，不自动替换。
レポーター,记者,全篇；主库术语表；来源 imperial-old:138。仅作语境审校参考，不自动替换。
レーザー,激光,全篇；主库术语表；来源 imperial-old:111。仅作语境审校参考，不自动替换。
ロケットモーター,火箭发动机,全篇；主库术语表；来源 imperial-old:112。仅作语境审校参考，不自动替换。
ワーゲン・ザッツ,瓦根达斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:185。仅作语境审校参考，不自动替换。
一同,众人,全篇；主库术语表；来源 imperial-old:139。仅作语境审校参考，不自动替换。
三軍共同防衛方針,三军共同防卫方针,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:140。仅作语境审校参考，不自动替换。
不知火,不知火,全篇；主库术语表；来源 imperial-old:86。仅作语境审校参考，不自动替换。
中佐,中校,全篇；用户审定；来源 imperial-old:35。仅作语境审校参考，不自动替换。
中国地方,中国地区,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:72。仅作语境审校参考，不自动替换。
中尉,中尉,全篇；用户审定；来源 imperial-old:13。仅作语境审校参考，不自动替换。
中隊,中队,全篇；主库术语表；来源 imperial-old:15。仅作语境审校参考，不自动替换。
丹波高地,丹波高地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:99。仅作语境审校参考，不自动替换。
九段に向かった,去了九段,全篇；用户审定；来源 imperial-old:183。仅作语境审校参考，不自动替换。
乳歯,乳牙,全篇；本章审定；来源 imperial-old:176。仅作语境审校参考，不自动替换。
亀岡戦域,龟冈战区,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:73。仅作语境审校参考，不自动替换。
事前処置,战前处置,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:16。仅作语境审校参考，不自动替换。
個中隊,个中队,全篇；主库术语表；来源 imperial-old:113。仅作语境审校参考，不自动替换。
個小隊,个小队,全篇；主库术语表；来源 imperial-old:87。仅作语境审校参考，不自动替换。
光線属種,光线属种,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:38。仅作语境审校参考，不自动替换。
光線属種積乱雲,光线属种积雨云,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:141。仅作语境审校参考，不自动替换。
光線級,光线级,全篇；主库术语表；来源 imperial-old:47。仅作语境审校参考，不自动替换。
全島疎開令,全岛疏散令,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:142。仅作语境审校参考，不自动替换。
兵士,士兵,全篇；主库术语表；来源 imperial-old:74。仅作语境审校参考，不自动替换。
兵士級,士兵级,全篇；主库术语表；来源 imperial-old:75。仅作语境审校参考，不自动替换。；2026-09-09 本篇/AL对齐及中文军衔修订，历史基线不回写。
医者,医生,全篇；主库术语表；来源 imperial-old:143。仅作语境审校参考，不自动替换。
半学徒,半学徒卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:180。仅作语境审校参考，不自动替换。
半学徒兵,半学徒卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:179。仅作语境审校参考，不自动替换。
半学徒衛士,半学徒卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:178。仅作语境审校参考，不自动替换。
友軍,友军,全篇；主库术语表；来源 imperial-old:48。仅作语境审校参考，不自动替换。
司令部,司令部,全篇；主库术语表；来源 imperial-old:56。仅作语境审校参考，不自动替换。
吹雪,吹雪,全篇；主库术语表；来源 imperial-old:114。仅作语境审校参考，不自动替换。
噴射地表面滑走,喷射地表滑行,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:88。仅作语境审校参考，不自动替换。
国土防衛整備計画,国土防卫整备计划,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:76。仅作语境审校参考，不自动替换。
国連,联合国,全篇；主库术语表；来源 imperial-old:23。仅作语境审校参考，不自动替换。
国連軍,联合国军,全篇；主库术语表；来源 imperial-old:39。仅作语境审校参考，不自动替换。
圧力注射,压力注射,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:175。仅作语境审校参考，不自动替换。
地球,地球,全篇；主库术语表；来源 imperial-old:89。仅作语境审校参考，不自动替换。
基地,基地,全篇；主库术语表；来源 imperial-old:14。仅作语境审校参考，不自动替换。
声,声音,全篇；主库术语表；来源 imperial-old:26。仅作语境审校参考，不自动替换。
壱型丙,一型丙,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:49。仅作语境审校参考，不自动替换。
外様,外样,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:27。仅作语境审校参考，不自动替换。
大佐,上校,全篇；用户审定；来源 imperial-old:66。仅作语境审校参考，不自动替换。
大型種,大型种,全篇；主库术语表；来源 imperial-old:63。仅作语境审校参考，不自动替换。
大尉,上尉,全篇；用户审定；来源 imperial-old:12。仅作语境审校参考，不自动替换。
太平洋,太平洋,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:100。仅作语境审校参考，不自动替换。
失探,失去追踪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:177。仅作语境审校参考，不自动替换。
女,女性,全篇；主库术语表；来源 imperial-old:6。仅作语境审校参考，不自动替换。
女の子,女孩,全篇；主库术语表；来源 imperial-old:101。仅作语境审校参考，不自动替换。
子供,孩子,全篇；主库术语表；来源 imperial-old:28。仅作语境审校参考，不自动替换。
安倍智彦,安倍智彦,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:144。仅作语境审校参考，不自动替换。
家格替え,改换家格,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:60。仅作语境审校参考，不自动替换。
小型種,小型种,全篇；主库术语表；来源 imperial-old:21。仅作语境审校参考，不自动替换。
小沢久彌,小泽久弥,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:145。仅作语境审校参考，不自动替换。
小隊,小队,全篇；主库术语表；来源 imperial-old:3。仅作语境审校参考，不自动替换。
少佐,少校,全篇；用户审定；来源 imperial-old:33。仅作语境审校参考，不自动替换。
少尉,少尉,全篇；用户审定；来源 imperial-old:20。仅作语境审校参考，不自动替换。
山城上総,山城上总,全篇；主库术语表；来源 imperial-old:77。仅作语境审校参考，不自动替换。
山百合魂,山百合魂,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:115。仅作语境审校参考，不自动替换。
崇宰恭子,崇宰恭子,全篇；主库术语表；来源 imperial-old:116。仅作语境审校参考，不自动替换。
嵐山基地,岚山基地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:36。仅作语境审校参考，不自动替换。
巌谷榮二,岩谷荣二,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:146。仅作语境审校参考，不自动替换。
市民,市民,全篇；主库术语表；来源 imperial-old:117。仅作语境审校参考，不自动替换。
帝国斯衛軍,帝国斯卫军,全篇；主库术语表；来源 imperial-old:102。仅作语境审校参考，不自动替换。
帝国本土防衛軍,帝国本土防卫军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:78。仅作语境审校参考，不自动替换。
帝国軍,帝国军,全篇；主库术语表；来源 imperial-old:10。仅作语境审校参考，不自动替换。
帝国軍衛士,帝国军卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:118。仅作语境审校参考，不自动替换。
広域データリンク,广域数据链,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:103。仅作语境审校参考，不自动替换。
後催眠暗示,催眠后暗示,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:64。仅作语境审校参考，不自动替换。
悠陽,悠阳,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:104。仅作语境审校参考，不自动替换。
悪酔い,恶醉,全篇；本章审定；来源 imperial-old:43。仅作语境审校参考，不自动替换。
愛宕陣地,爱宕阵地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:147。仅作语境审校参考，不自动替换。
感覚欺瞞,感官欺骗,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:170。仅作语境审校参考，不自动替换。
