binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.004:408936772:00001640:00001,cvm,【武】「——呜啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！」<01>,[],layout_only,36cc794be45111a600f45bf7fb8e742f996e74f0cd45f80876d9623d9f5d83dd,88fc37650ea79dacaf16f08ed687c383a7c9f06bedc7404ff3a9e66f9afcae34
pm:vm:photonmelodies11.rio.004:408936772:00002024:00002,cvm,【武】「——呜哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦！！」<01>,[],layout_only,8f0e983489e7f3e7746d6bf705a8bbfe077befccffa57cca827b5cdb85663302,a08867a66ab3c4bd8ce18d42e802793d1738de304184bcf523a672e949c625e2
pm:vm:photonmelodies11.rio.004:408936772:00002204:00003,cvm,【武】「——呀嗷——————————————！！！」<01>,[],layout_only,6529d5aecba29ae1ae445083fec38c7dc356d47811c58ca0a93f15cfcf643b9c,23b9062401ee831f7733b25ed889146102bea1e28e00651b65e850a9fc55c6f5
pm:vm:photonmelodies11.rio.004:408936772:00002384:00004,cvm,【武】「——救救救救救救救救命啊啊啊啊啊啊啊啊啊啊！！！」<01>,[],layout_only,4fb85dd6d998c6692298d4f3e7e102f85edf43baf4d5e4df844e9e39df648c1d,a5f6c8e7e25e629d18f3146c1d2a85645e92ad392c394f92d72442720ecd0b27
pm:vm:photonmelodies11.rio.004:408936772:00003688:00005,cvm,【武】「……………………」<01>,[],layout_only,770975bc8d76964cd0683d1a3ba2ec947971272f34819d29aa5c66d3964a88d7,6a17c608647a040376434d02fd50f1e4124a141fe417bdc98ba4d3f27bdee35c
pm:vm:photonmelodies11.rio.004:408936772:00004248:00006,cvm,【纯夏】「——呀嗬！小武——！！」<01>,[],layout_only,c5de914439e295e97f4e4a0fc6d1b362c0ada3f5f608562eda83f08a584aeaee,b37d8ee8395eb0f70038890ebc32e574390975af556f56b7e8949c131d319939
pm:vm:photonmelodies11.rio.004:408936772:00004316:00007,cvm,……………………。<01>,[],layout_only,efa30788584cfea7ade60ccc37d7fc6cda943e64935eb133252c341159e58e05,0b3d7aae4004dc9b91522cf9245f879b48b6a3b3d3c28ecbba043ba8207a6df9
pm:vm:photonmelodies11.rio.004:408936772:00004924:00008,cvm,【千鹤】「——你给我站住！！」<01>,[],layout_only,4013313a33a212d1c9b41fcfb9fa61000bebdec55c4e80fea87e67a08b77ea2e,0fb8b2b91e18bf698c07c0c72e7502010a4c36ce90b428513fba624489527d07
pm:vm:photonmelodies11.rio.004:408936772:00005500:00009,cvm,……………………。<01>,[],layout_only,efa30788584cfea7ade60ccc37d7fc6cda943e64935eb133252c341159e58e05,0b3d7aae4004dc9b91522cf9245f879b48b6a3b3d3c28ecbba043ba8207a6df9
pm:vm:photonmelodies11.rio.004:408936772:00006128:00010,cvm,【壬姬】「——喵哈哈哈哈哈哈！！好好玩～～～～～！！」<01>,[],layout_only,f16243e58b93925044f9f0e4bc7e9d577aee2b5b204ea5fdadd4a60f3e9035c9,c15fd28b25c176f9f00e28008e14d99310fff1a5f62a205b5959e1807520d0ce
