jp,cn,context
00ユニット,00单元,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
00式,00式,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
04式 不知火・弐型,04式 不知火二型,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
14式,14式,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
94式 不知火,94式 不知火,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
97式 吹雪,97式 吹雪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
BETA,BETA,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
あ号標的,A号目标,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
カタパルト,弹射器,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
グリペン,鹰狮,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
スーパーホーネット,超级大黄蜂,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
タイフーン,台风,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
チェブラーシカ,切布拉什卡,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
チェルミナートル,终结者,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
データリンク,数据链,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
トルナード,狂风,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
トーネード,狂风,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ドラケン,龙,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ビェールクト,金雕,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ビゲン,雷,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ビンゴ・フュエル,返航燃料,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ファランクス,密集阵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ミサイル,导弹,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ミラージュ2000,幻影2000,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ラファール,阵风,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ラプター,猛禽,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
レーザー,激光,仅指激光/光束；BETA 类别须匹配完整的レーザー級或重レーザー級
レーザー級,光线级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ロケットモーター,火箭发动机,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
上位存在,上位存在,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
不知火,不知火,仅指战术机型号；不适用于自然景物、普通词义
不知火・弐型,不知火二型,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
並列処理装置,并行处理装置,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
中佐,中校,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
中尉,中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
中隊,中队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
伊隅みちる,伊隅美知留,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
伊隅美知留,伊隅美知留,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
低軌道衛星,低轨道卫星,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
低軌道観測衛星,低轨道观测卫星,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
佐渡島,佐渡岛,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
偵察衛星,侦察卫星,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
光線級,光线级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
兵士級,兵士级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
凄乃皇,凄乃皇,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
凄乃皇・四型,凄乃皇四型,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
准将,准将,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
創造主,创造主,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
吹雪,吹雪,仅指战术机型号；不适用于自然景物、普通词义
因果導体,因果导体,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
国連,联合国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
国連宇宙総軍第６軌道降下兵団,联合国宇宙总军第6轨道降下兵团,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
国連横浜基地,联合国横滨基地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
国連統合参謀会議,联合国联合参谋会议,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
国連軍,联合国军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大佐,上校,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大型種,大型种,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大尉,上尉,普通军衔译上尉；已冻结的复合人物名需单独审核，不做子串替换
宗像美冴,宗像美冴,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
小型種,小型种,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
小隊,小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
少佐,少校,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
少尉,少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
山城上総,山城上总,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
崇宰恭子,崇宰恭子,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国斯衛軍,帝国斯卫军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国軍,帝国军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
彩峰慧,彩峰慧,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
御剣冥夜,御剑冥夜,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
御剣悠陽,御剑悠阳,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機,战术机,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術歩行戦闘機,战术机,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦車級,战车级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戰術機,战术机,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
撃震,击震,仅指战术机型号；不适用于自然景物、普通词义
擊震,击震,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斑鳩崇継,斑鸠崇继,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斯衛,斯卫,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斯衛衛士,斯卫卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斯衛軍,斯卫军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斯衛軍衛士,斯卫军卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
日本帝国,日本帝国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
明星作戦,明星作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
明星作戰,明星作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
月詠真那,月咏真那,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
柏木晴子,柏木晴子,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
桜花作戦,樱花作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
榊千鶴,榊千鹤,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
横浜基地,横滨基地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
横浜基地防衛戦,横滨基地防卫战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
櫻花作戰,樱花作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
武御雷,武御雷,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
母艦級,母舰级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
沙霧尚哉,沙雾尚哉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海兵隊,海军陆战队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海軍,海军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
涼宮茜,凉宫茜,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
涼宮遙,凉宫遥,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
涼宮遥,凉宫遥,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
煌武院悠陽,煌武院悠阳,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
珠瀨壬姫,珠濑壬姬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
珠瀬壬姫,珠濑壬姬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
珠瀬玄丞斎,珠濑玄丞斋,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
瑞鶴,瑞鹤,仅指战术机型号；不适用于自然景物、普通词义
甲斐志摩子,甲斐志摩子,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
白銀武,白银武,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
石見安芸,石见安艺,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
石見安藝,石见安艺,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
社霞,社霞,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
突撃砲,突击炮,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
突撃級,突击级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
篁唯依,篁唯依,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
能登和泉,能登和泉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
衛士,卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
要塞級,要塞级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
要撃級,要击级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
誘導弾,诱导弹,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
跳躍ユニット,跳跃单元,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
跳躍装置,跳跃装置,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
軌道降下兵団,轨道降下兵团,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
軍医,军医,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
軍警,军警,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
近接長刀,近接长刀,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
速瀬水月,速濑水月,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
重レーザー級,重光线级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
重光線級,重光线级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
重力偏差,重力偏差,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
鎧衣尊人,铠衣尊人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
鎧衣左近,铠衣左近,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
鎧衣美琴,铠衣美琴,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
鑑純夏,鉴纯夏,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
長刀,长刀,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
闘士級,斗士级,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
陽炎,阳炎,仅指战术机型号；不适用于自然景物、普通词义
静止衛星,静止卫星,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
風間祷子,风间祷子,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
