binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pf:vm:photonflowers11.rio:488251388:00000488:00001,cvm,【麻理茉】「近年来，随着技术革新、新材料的研发，<0A>以及主机输出提升与小型化带来的机动性提高，<0A>战术机的形态与定位也发生了变化。」<01>,[],historical_combined_review,3cbcfe7980dd734613d3837ee002626d34a9e3552453a300d89700c86ca2ff43,046148f52a6e8a880485d8d4f98b0b7cf4c807b37e5e3e3b2c210a71ccd3c296
pf:vm:photonflowers11.rio:488251388:00000544:00002,cvm,【麻理茉】「近来，战术机取代武装直升机，<0A>承担空中掩护任务的情况越来越多，这也印证了这一点。」<01>,[],historical_combined_review,6814bf831d805d89b30c900ca673f49965310e1e979dd6d629aeb79ff3ac4125,04b65e15d0ce63aeebd22638bb02c6b52b0a93222e9f5078a9231f75d8ee5fe2
pf:vm:photonflowers11.rio:488251388:00000600:00003,cvm,【麻理茉】「战术机就这样取代了航空器原本的战术定位，<0A>但在实战部队开始部署之初，<0A>驾驶员的熟练程度成了一个大问题。」<01>,[],historical_combined_review,2967e9a188162c711c5d0c541f7b8d3819421d11e99446b30314e409742321c2,a94c95248134e229312e1468da1876b612eea4e75ddd6f990e3839738a231c0a
pf:vm:photonflowers11.rio:488251388:00000656:00004,cvm,【麻理茉】「另外，战术机驾驶员在日语中被称为『卫士』。<0A>之后我会使用这个日语称谓，注意不要混淆。」<01>,[],historical_combined_review,974ed9bd53a021ee5bf28c486e19328eb8d48d4891dacef6b35eb97e9558f06b,78a2d2077ad4b1cb405e280ba796c20fe2210d56b94d9fafdeecb92c5ca963fa
pf:vm:photonflowers11.rio:488251388:00000712:00005,cvm,【麻理茉】「起初，空军被迫进行大规模重组，<0A>那些险些失业的飞行员便被重新培养成了卫士，<0A>可是…………」<01>,[],historical_combined_review,f75b6b41417747303adc794c7962862a1d05814450e191f1b628fedef68eafcc,abc9fb7e99ffb6736d2f7dfc688474298733149c7262b5433fbbab24b76e0e83
pf:vm:photonflowers11.rio:488251388:00000964:00006,cvm,【麻理茉】「这是92式战术机管制组件，<0A>自94年列装的『不知火』起采用，此前的机体也已换装，<0A>但它在各个方面都与航空器驾驶舱截然不同。」<01>,[],historical_combined_review,6133c89e64204588c0e53fcdfe4ede4b407d95973a3ea3ea3ed024498a36fe72,528ccd400bd0612590d4a14dec9f41dfb2dc79cd628fa453c49dd4eef5f7dfd1
pf:vm:photonflowers11.rio:488251388:00001216:00007,cvm,【麻理茉】「这种此前从未存在过、<0A>介于坦克与航空器之间的『人型兵器』，<0A>在驾驶、战术、运用乃至机动等方方面面，<0A>都要求转变思路，能跟上这种转变的人少之又少。」<01>,[],historical_combined_review,1d0d5814f5660830d4181059417d4dbb13dad8f985578795b8ffaff65abe3fb9,f0d9ced26bf85601d41cfc615780eecb702ab74c230abcdca3e453f6af960a86
pf:vm:photonflowers11.rio:488251388:00001272:00008,cvm,【麻理茉】「战术机本是对BETA战的王牌，<0A>是一种全新概念的兵器；<0A>然而无论其诞生有何必然性、秉持怎样的设计开发理念，<0A>它终究成了让前线士兵无所适从的兵器。」<01>,[],historical_combined_review,f962576b0e9161168a4546364af09e6395a67675cc42cefdc8ea5240eef48bdd,f3fffe72b164116592aba8fda33a7919a2646d6759c794f89985091c0b654941
pf:vm:photonflowers11.rio:488251388:00001328:00009,cvm,【麻理茉】「有人知道在当时，<0A>初次上阵的卫士在战场上的平均生存时间有多长吗？」<01>,[],historical_combined_review,7b8e12524d06223ed7bbf7ae1415a3031142a401639171babbbf3f68e41da425,e4361c02d2aea3e9aff795d73e05b6b80e01d22d41c83683d3a7ccd915d209c7
pf:vm:photonflowers11.rio:488251388:00001396:00010,cvm,【千鹤、冥夜、壬姬、慧、美琴、武】「……………………」<01>,[],historical_combined_review,b3b13c5298bb7854e4d6d14c70f41778c10914577fd50409388f837ef020031e,31033caad7deb6aad36342d8483b32c46ce947fd5b6ab106a7ff3c7e1d1da62a
