jp,cn,context
ATSF計画 / YF-22 / YF-23,ATSF 计划 / YF-22 / YF-23,憧憬／再诞；原文直接出现拉丁字母与机型代号，完整保留 ATSF、YF-22、YF-23，只翻译通用词“计划”。；来源 pm-ar-table:156。仅作语境审校参考，不自动替换。
βブリット,β-Brid,憧憬／再诞；与 βブリッド 合并为同一研究对象。；来源 pm-ar-table:247。仅作语境审校参考，不自动替换。
βブリッド,β-Brid,憧憬／再诞；后文明确按 β-Brid 固定；保留希腊字母和拉丁专名。；来源 pm-ar-table:241。仅作语境审校参考，不自动替换。
うまくヤッた / 『ヤッ』をカタカナにする,‘干’得不错 / 特意把‘干’说得暧昧,憧憬／再诞；中文无法通过片假名复现强调，改用引号和“说得暧昧”重建同一笑点；不能直译成无法成立的“把干写成片假名”。；来源 pm-ar-table:133。仅作语境审校参考，不自动替换。
おしぼり,湿巾,憧憬／再诞；指日式服务用的湿巾；必须与同句改口的蒸しタオル区分才能保留误会笑点。；来源 pm-ar-table:139。仅作语境审校参考，不自动替换。
おしぼりの君,湿巾小姐,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；这是清十郎临时赋予、后续可识别人物的命名式外号，保留“湿巾”这一关键意象，不能泛化成普通称呼。；来源 pm-ar-table:152。仅作语境审校参考，不自动替换。
おばちゃん１,大婶1,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:298。仅作语境审校参考，不自动替换。
おばちゃん２,大婶2,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:299。仅作语境审校参考，不自动替换。
おばちゃん３,大婶3,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:300。仅作语境审校参考，不自动替换。
お姫様だっこ,公主抱,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:211。仅作语境审校参考，不自动替换。
お年玉,压岁钱,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:244。仅作语境审校参考，不自动替换。
お持て成し,待客之道,憧憬／再诞；反复出现且承载人物误会的关键词，统一为有识别度又自然的“待客之道”。；来源 pm-ar-table:136。仅作语境审校参考，不自动替换。
