id,egpack,speaker,jp,before_cn,after_cn,reason
game_t00060,020_UAF_DAY91_01.egpack,ダリル,「オージーとインドも複雑だしねえ…\w…\w。そう見られた方が彼女にとって得なんだろうよ」,「澳洲和印度之间也很复杂呢……让别人这么看，对她来说反而有利吧。」,「澳洲和印度之间也很复杂呢……让别人这么看，对她反倒更有好处吧。」,中文自然度修正：得/有利 改为“更有好处”。
game_t00476,020_UAF_DAY91_01.egpack,ウィル,「食料も水も母艦に帰ればいくらでもあるぜ…\w…\w！」,「食物和水只要回到母舰要多少有多少……！」,「食物和水，回到母舰就有的是……！」,中文自然度修正：いくらでもある 改为“有的是”。
game_t00707,030_UAF_DAY93_01.egpack,オールストン准将,「…\w…\w以後、\w数度の大津波と海図データの急激な変化によって艦の位置を喪失。急速な潮位の変動に対応し切れず、\wこの地に座礁してしまった」,「……此后，因数次大海啸和海图数据的急剧变化，失去舰位。未能应对急速的潮位变动，在此地搁浅了」,「……此后，因数次大海啸和海图数据急剧变化，失去了舰位。没能应对快速变化的潮位，结果在这里搁浅了」,中文自然度修正：此地/失去舰位语序顺化。
game_t00715,030_UAF_DAY93_01.egpack,オールストン准将,「我々はこの地をケネディ海軍駐留拠点と命名。現在、\w生き残った艦載機を中心に哨戒を行い、\w同様に漂流を続ける友軍の救難、\w集結に着手している」,「我们将此地命名为肯尼迪海军驻留据点。目前，以幸存舰载机为中心进行巡逻，并着手救援和集结同样在漂流的友军。」,「我们把这里命名为肯尼迪海军驻留据点。目前正以幸存舰载机为主展开巡逻，同时着手救援并集结同样仍在漂流的友军。」,中文自然度修正：将此地/进行巡逻 顺化为“把这里/展开巡逻”。
game_t00750,030_UAF_DAY93_01.egpack,ダリル,「バビロンの時はヨコスカに居残りでね。アンタと同じ第三次作戦用の上陸部隊になるはずだった」,「巴比伦的时候我留在横须贺了。本来应该和你一样成为第三次作战用的登陆部队的」,「巴比伦的时候我留在横须贺了。本来该和你一样编入第三次作战用的登陆部队」,中文自然度修正：上陸部隊になる 改为“编入登陆部队”。
game_t01173,040_UAF_DAY94_01.egpack,リリア,「へえ！　言われてみればそっか。あんな中継機、\w誰かが作んなきゃ都合よく在るわけないもんね」,「嘿！说起来也是。那种中继机，要是没人造的话，也不可能那么凑巧存在吧。」,「嘿！说起来也是。那种中继机，要是没人造的话，不可能那么凑巧就在那里吧。」,中文自然度修正：都合よく在る 改为“凑巧就在那里”。
game_t01190,040_UAF_DAY94_01.egpack,,ウチの技術陣だって時間を掛ければ同じ結果、\w同じシステムにたどり着いただろうが、\wその間にも人は死んでゆく。,我方的技术团队如果花时间也能得出同样的结果、同样的系统，但在此期间人们会死去。,我们这边的技术人员就算花时间，也能得到同样的结果、摸索出同样的系统吧，但在这期间还是会有人死去。,中文自然度修正：ウチの技術陣/たどり着く 顺化。
game_t01218,040_UAF_DAY94_01.egpack,,いくら先陣がモットーの海兵隊とは言え、\w今時『前線中の前線』なんかに『優先的に』配属される米軍衛士がどういうものか――,虽说海军陆战队以冲锋陷阵为座右铭，但如今被‘优先’分配到‘前线中的前线’的美军卫士究竟是怎样的存在——,虽说海军陆战队以冲锋陷阵为座右铭，但如今会被“优先”分配到“前线中的前线”的美军卫士究竟是什么人——,中文自然度修正：どういうものか/怎样的存在 改为“是什么人”。
game_t01223,040_UAF_DAY94_01.egpack,,俺自身、\wこの国籍がいかに今の世界で有利な代物か…\w…\w特に衛士になって世界に出て以降、\w身に染みて痛感しているからだ。,我自己，这个国籍在当今世界是多么有利的东西……特别是成为卫士走向世界之后，我深有体会。,我自己也深切体会到，这个国籍在如今的世界有多吃香……尤其是在我成为卫士、走向世界之后。,中文自然度修正：有利な代物 改为“吃香”。
game_t01233,040_UAF_DAY94_01.egpack,,衛士になった今でこそ違和感を覚えるし、\w親の代の頃だから直接的には知らないが――,成为卫士的现在虽然感到违和感，而且因为是父母那一代的事情所以并不直接知道——,现在当了卫士才觉得不对劲，而且那是父母那一代的事，我也不是亲身经历——,中文自然度修正：衛士になった今でこそ/直接的には知らない 顺化。
