baseline_version,jp_term,cn_term,category,count,classification,applicability,source_authority,source_hash,reason,examples,origin
photonflowers-ex-terms-v1.0,醍三郎,醍三郎,character,138,candidate,冥夜's martial-arts master,JP plot context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,name is unambiguous; absent from public glossary,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,御師匠様,师父,martial_title,28,candidate,冥夜→醍三郎,JP relationship context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,chapter-local respectful title,pf:static:photonflowers11.rio:488133660:00069743 |  | それこそ、御師匠様に顔を会わせられないな……。<01> || pf:static:photonflowers11.rio:488133660:00070509 |  | 御師匠様の教えの通り、正しく剣技を磨き、その力にもはや疑いや偽りはないはず。<01> || pf:static:photonflowers11.rio:488133660:00082613 |  | お、御師匠様…………。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,雷電,御剑雷电,character,19,candidate,御剑家当主/冥夜祖父,JP plot context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,identity is unambiguous; absent from public glossary,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,無現鬼道流,无现鬼道流,martial_school,12,candidate,冥夜 future episodes,JP repeated proper name,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,transparent kanji simplification,,full_read_manual_addition
photonflowers-ex-terms-v1.0,免許皆伝,免许皆传,martial_rank,9,candidate,无现鬼道流,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,fixed martial certification,,full_read_manual_addition
photonflowers-ex-terms-v1.0,御祖父様,祖父大人,kinship_title,8,candidate,冥夜→御剑雷电,JP relationship context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,preserve formal affection; no formal CN snapshot,pf:static:photonflowers11.rio:487890932:00091135 |  | 御祖父様に帰国を命じられたのだ……いよいよ覚悟を決めなければならぬというのに、この有様。<01> || pf:static:photonflowers11.rio:487890932:00131505 |  | 後は…………全て、御祖父様次第か…………。<01> || pf:static:photonflowers11.rio:488133660:00052117 | 冥夜 | 【冥夜】「……御祖父様を診ているのはどこの医師団であろうな？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ソース・醤油事件,酱汁·酱油事件,fixed_event_gag,6,candidate,武/纯夏 quarrel,JP plot context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,chapter-local retrospective label,,full_read_manual_addition
photonflowers-ex-terms-v1.0,御剣財閥,御剑财阀,organization,6,candidate,all EX episodes,JP + established character name,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,transparent chapter-wide proper name absent from public glossary,,full_read_manual_addition
photonflowers-ex-terms-v1.0,お師匠様,师父,martial_title,5,candidate,冥夜→醍三郎,JP relationship context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,orthographic variant of the same title,pf:static:photonflowers11.rio:488133660:00074495 | 冥夜 | 【冥夜】「――お師匠様！　私の心は曇ってなどおりません！」<01> || pf:static:photonflowers11.rio:488133660:00080925 | 冥夜 | 【冥夜】「お師匠様……畏れ入りましてございます」<01> || pf:static:photonflowers11.rio:488133660:00084037 | 冥夜 | 【冥夜】「お、お師匠様？　……血が……鼻から出て」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,バルジャーノン,Baljarnon,game_title,5,candidate,桜の花が咲くまえに,JP scene context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,recurring fictional game; absent from public glossary,pf:static:photonflowers11.rio.002:630827184:00028938 |  | ああ、<03>そうか。昨日はドリコスでバルジャーノンやり始めて…<03>…<03>そのまま寝ちまったんだな。<01> || pf:static:photonflowers11.rio.002:630827184:00053402 |  | 今日はバルジャーノンの大会だったんだなぁ。<01> || pf:static:photonflowers11.rio.002:630827184:00059576 | 武 | 【武】「あの中…<03>…<03>って、<03>へえ、<03>バルジャーノンか。<0A>大会ってことは、<03>結構上手いのか？」<01>,mechanical_scan_reviewed
